URLS,Headline,Article
/news/bangladesh/crime-justice/news/ansar-al-islam-its-sending-men-abroad-hide-collect-funds-3131441,Ansar al Islam: It’s helping men to flee  abroad to collect funds,"To collect funds, increase organisational strength, and avoid arrest, Al-Qaeda-inspired militant outfit Ansar Al Islam is now sending its permanent members abroad.In the last three months, the banned outfit could send a member to Saudi Arabia and complete paperwork of four others for their journey to Oman, said counter-terrorism officials.""As part of a new strategy to avoid arrest,the outfit is now sending members abroad, whose identities were already known to law enforcers,"" Ahamedul Islam, additional deputy commissioner of Counter Terrorism and Transnational Crime (CTTC) unit, told The Daily Star.CTTC claimed to have known about the strategy following arrests of two outfit members Rezaul Alam alias Tinku, 42, and Md Saiful Islam Shakil, 26, on Saturday.Shakil used to take care of the outfit's foreign funds.In the last three and a half years, the outfit has received around Tk 1.5 crore from Australia and the UK, a CTTC investigation found.Based on information from the arrestees, CTTC said they arrested another member, Delwar Hossain, from the capital's Fakirapool, on Tuesday.Although his family on Sunday claimed that several men, claiming to be detectives, picked him up from his home on September 19.However, CTTC in an official statement said they conducted a raid on Delwar's house in Adabor on September 19, but sensing the presence of law enforcers, he went into hiding.Delwar was planning to flee to Oman and already completed all the formalities.CTTC officials arrested him when he went to Fakirapool to buy an air ticket. A passport and working visa for the next two years in Oman were recovered from his possession, they said.A senior official of the CTTC unit said Delwar was an ""Ansar"" (permanent) member of the outfit, who was going abroad with the outfit's funds.ADC Ahamedul said Delwar's main task was to give shelter to outfit leaders in his house and hold meetings when they visited Dhaka.He said, ""We are trying to collect details about those who visitedthe house.""Delwar has been living in the house for the last two years. Recently, he cleared the house rent to leave the house after law enforcers learned of the address and his identity, said investigators.Jakia Akter Mitu, Delwar's wife, however, told this newspaper that she was unaware of her husband going abroad.""Some people used to visit their house, but I did not meet them,"" said Jakia, adding, ""I still do not believe that my husband is involved in militancy.""Asked why they were planning to leave the house, she said they wanted to reduce costs.Ansar Al Islam's regrouping and operational activities came to the fore on August 23 after seven youths went missing from Cumilla.At a programme yesterday, Shafiqul Islam, commissioner of Dhaka Metropolitan Police, said, ""We learnt that about 50 youths left their homes. We're working to know where they are being trained, and there has been much progress in this regard."""
/news/bangladesh/rights/news/human-rights-violations-cooperation-un-led-reprisals-3131666,Human Rights Violations: Cooperation with UN led to reprisals,"People in Bangladesh who cooperated with the UN on human rights issues have faced reprisals because of it, the UN said in a new report presented at the Human Rights Council in Geneva yesterday.Bangladesh is one of the 42 countries where this trend was noticed in the past year, the report said.""The reported reprisals may have a chilling effect and deter others from reporting on issues of public interest, including human rights, and from cooperating with the UN, its representatives, and mechanisms,"" said the report presented by Ilze Brands Kehris, assistant secretary-general for human rights.""On December 30, 2021, the government announced that it was investigating 76 pending cases with the UN Working Group on Enforced or Involuntary Disappearances (WGEID). However, between December 2021 and February 2022, authorities reportedly raided the homes of some victims' relatives and intimidated them,"" said the report.""Mandate holders expressed concern that the reported intimidation may have been directed against relatives and human rights defenders for their cooperation with UN entities, including the WGEID,"" it said.The report said the situation was such that on February 21, 2022, the group sent a letter to Bangladesh addressing allegations of intimidation and harassment of relatives of disappeared persons, human rights defenders and civil society organisations for their cooperation with the UN.The letter was followed up by a public statement on March 14, 2022, in which they called on authorities to cease the reprisals, the report added.The report also detailed the harassment of human rights organisations Odhikar, stating that representatives of some NGOs searching for victims of enforced disappearances and advocating for accountability were also allegedly affected.It went on to say that Odhikar and its staffers continue to be under surveillance, which reportedly intensified after December 10, 2021.""As of April 2022, Odikhar's bank accounts remain frozen and their application to the NGO Affairs Bureau for the renewal of its registration is pending (its registration was scrapped in June 2022). During the reporting period [May 1, 2021 to April 30, 2022], Odhikar has continued to engage with the UN bodies and mechanisms, including by submitting information, statements, and communications to Special Procedures, in particular to the WGEID,"" said the report.The report noted that when the body communicated about Odhikar to the government, they ""reiterated their [Odhikar's] bias against the authorities and clarified that the administrative and legal action against the organisations was due to the corruption findings of an investigation.""""The government informed about its decision not to approve Odikhar's application for renewal of registration, for its failure to comply with applicable legislation, the lack of response to the objections in audit reports concerning projects funded with foreign donations and due to irregularities related to fee payments and VAT,"" the report said about the government's response.The report also noted that the government is still carrying on a legal case against the organisation."
/business/economy/news/does-bangladesh-need-5g-now-3131591,Does Bangladesh need 5G now?,"During a rural market visit a few years ago, I discovered, to my amusement, a keen interest in 5G penetration among the villagers. When I asked why they need 5G at all, as most did not have a smartphone, their shy excuses said it all. And why not, I urged them. There is nothing wrong with dreaming high.Bangladesh is growing fast with making ""Vision 2041"" a reality. The Perspective Plan of Bangladesh aims to reach the status of upper middle-income country by 2031 and high-income status by 2041. The internet and digital technology are going to be the key tools in implementing the plan.Digital inclusion is a crucial component of this journey with access to reliable and affordable connectivity being essential to the government's aspiration towards its ""Vision 2041"".The reach of mobile networks has galloped with over 95 per cent of the population covered by 4G mobile broadband networks. Despite massive investments in the sector with its rapid expansion of 4G coverage, there is still a significant usage gap of 67 per cent.Interestingly, of the remaining 33 per cent, only 28 per cent subscribed to a mobile internet service in 2020. The lag between 4G coverage and the share of 4G connections only goes to emphasise that demand does not automatically follow supply.Let's understand what 5G has to offer. 5G is designed to do a variety of things that can transform our lives, including faster download speeds, low latency, and more capacity and connectivity for billions of devices – especially in the areas of virtual reality, the internet of things, and artificial intelligence. Its use would result in smarter logistics, advanced healthcare, modernised mining and much more.If data usage is further analysed, almost two-thirds of it is being used for watching YouTube and social media engagements. Then, does it make sense to invest in 5G for YouTube, Facebook, TikTok etc.?Amid forex reserve constraints, Executive Committee of the National Economic Council has put Teletalk's 5G expansion project on hold for now.Planning Minister MA Mannan has announced that ""the prime minister thinks Teletalk's 5G project is not needed right now. Its 4G service needs to be ensured first in all parts of Bangladesh"". He further said, ""not just Teletalk, all mobile operators have been asked to increase their 4G coverage"".With the current lack of 5G usage in Bangladesh, the government's pragmatic decision to delay the 5G launch/expansion is commendable. The investment in 5G would yield no benefits for either the country or the companies involved in the short-medium term.It is also laudable that the telecom regulator has auctioned spectrum at a reasonable price to ensure 4G coverage and quality.However, operators would still prefer to embark on 5G merely to take early movers' advantage and for the sake of competitive benefits despite the lack of sufficient use cases to justify it. With the existing spectrum available for 5G with operators, private 5G services may be offered selectively to reap benefits in areas like ports, mining etc.Before launching 5G, it is imperative to ensure a collaboration between the government and multi-stakeholders to address current usage by means of taxation (on user), regulation, local content, use cases and coverage barriers (fragmented licensing, discriminatory tax on operators) and so on.There is no denial that 5G is essential to achieve Bangladesh's 2041 goal. But it is not an immediate requirement given the huge investment involved, the current ecosystem and forex reserve constraints far outweigh the desired benefits.Rather the stakeholders should use this wait time to ensure digital inclusion through 4G network and, prepare better for 5G with sufficient use cases and infrastructure readiness.The author is a telecom and management expert."
/news/bangladesh/crime-justice/news/british-national-found-dead-uttara-hotel-3131471,British national found dead in Uttara hotel,"Police recovered the body of a British national from a hotel in Dhaka's Uttara area yesterday morning.The deceased, Dugald Finlayson (60), arrived in Bangladesh on a tourist visa and checked into Marino Hotel on September 20, police said.On information, a team of police found Dugald in unconscious state inside the bathroom of a room around 10:00am.He was rushed to a private hospital nearby where doctors declared him dead, said Jahirul Islam, officer-in-charge of Uttara East Police Station.Quoting the hotel authorities, police said the British national had his dinner last night. He was seen entering his room in the CCTV footage.As he did not respond when a Chinese friend knocked at the door in the morning, the friend informed the hotel authorities.When they opened the door with their key, they saw him lying in the bathroom, he said.The body was sent to Dhaka Medical College morgue for autopsy, he added."
/news/world/usa/news/biden-foreign-policy-earns-higher-marks-europe-us-3131436,Biden foreign policy earns higher marks in Europe than US,"US President Joe Biden has struggled in domestic polls since last year but his foreign policy is earning higher marks in much of Europe as he leads efforts against Russia's invasion of Ukraine.A 14-nation survey released yesterday by the German Marshall Fund of the United States said approval of Biden's foreign policy was higher than in the US in all countries surveyed except Italy and Turkey.The highest approval was in Poland, a Nato ally on the frontlines of efforts to assist Ukraine, where 74 percent said they approved fully or somewhat of Biden's foreign policy and only 13 percent disapproved.Approval for Biden's foreign policy was also above 60 percent in Lithuania, Romania, Portugal, Sweden and Germany. In the United States, 47 percent voiced support.The trans-Atlantic survey found that 64 percent considered the United States to be the most influential actor in the world, a slight increase from a year earlier.In one shift, the European Union came in second, edging out China, fueled by the growing number of Europeans who said the 27-nation bloc was the most influential world player.The study also found tepid backing for military support to Taiwan if China invades the self-governing democracy, a possibility raised by Biden amid concerns fueled by the Ukraine war.A mere seven percent of Americans favored sending troops to Taiwan in an invasion, a figure that was still higher than in any other country surveyed.The survey was conducted mostly in late June and early July with an average of 1,500 respondents in each country."
/news/asia/india/news/shashi-tharoor-files-nomination-president-post-congress-party-3131851,Shashi Tharoor files nomination for president post of Congress party ,"Shashi Tharoor today filed his nomination papers for the post of president of India's Congress party which appears set for a person from outside the Nehru-Gandhi clan after a long hiatus.Tharoor, the lawmaker from Thiruvananthapuram, submitted his nomination to the party's central election authority chairman Madhusudan Mistry at his office at the party's national headquarters in New Delhi, reports our New Delhi correspondent.The party members will elect their next chief on October 17 and the results would be announced two days later as to who will replace the Congress' interim President Sonia Gandhi.Another senior leader Mallikarjun Kharge is the other frontrunner in the contest after Digvijaya Singh and Ashok Gehlot dropped out of the race.While Ashok Gehlot's pulling out of the contest came in the wake of the crisis in the party's Rajasthan unit, and his supporters protesting amid buzz of Sachin Pilot's likelihood of succeeding him as chief minister, Digvijaya Singh said he would be proposer for Kharge, a day after confirming his candidacy. Before filing nomination,Tharoor paid tributes to India's Father of the Nation Mahatma Gandhi and Rajiv Gandhi at their separate memorials.""Paid tribute to the man who built India's bridge to the 21st century this morning. 'India is an Old country but a young nation… I dream of India Strong, Independent, Self-Reliant and in the front rank of the nations of the world, in the service of mankind.' ~ Rajiv Gandhi,"" Tharoor tweeted."
/business/economy/news/mcci-again-seeks-trade-licences-validity-extension-3131516,MCCI again seeks trade licence’s validity extension,"The Metropolitan Chamber of Commerce and Industry (MCCI) has once again sought cooperation from the National Board of Revenue (NBR) to extend the validity of trade and other business relevant licences to three to five years from the current one year.Over the last few years, the MCCI has been suggesting the government for the extension of trade and business licences' validity to three or five years, as the one-year validity increases the cost of doing business, MCCI President Md Saiful Islam said yesterday.He spoke at a discussion on ""Payment of taxes, filing of returns and compliance with provisions of deduction of tax at source: changes brought by the Finance Act, 2022"" jointly organised by the chamber and the NBR Dhaka's tax zone 15, at the chamber office in the capital.The objective of the meeting was to help everyone understand the importance of the relevant issues of Finance Act, 2022, the accurate filing of income tax returns, the compliance with the rules of deduction of tax at source, and also show the use of the electronic tax deducted at source system, according to a statement from the MCCI.Implementing online and automation systems could save cost and time for businesses, Islam said in the statement."
/news/bangladesh/governance/news/if-needed-al-leaders-will-guard-temples-puja-mandaps-obaidul-quader-3131821,"If needed AL leaders will guard temples, puja mandaps: Obaidul Quader","Road Transport and Bridges Minister, also Awami League General Secretary, Obaidul Quader today urged party leaders and workers to resist communal forces during Durga Puja.He said this in a meeting with representatives of different religions this morning (September 30, 2022).Calling on leaders and workers of Awami League and affiliated organisations across the country to be careful, he said, ""I am calling on everyone to be careful in view of the unfortunate experience of last time.""""If necessary, other than law enforcers, our leaders and workers will also be on guard at the temples and puja mandaps,"" the minister said.""We hope that everyone will participate in this festival. Therefore, I am calling upon our leaders and workers at all levels to be vigilant and proactively address all security concerns and follow instructions from Prime Minister Sheikh Hasina,"" Quader added."
/news/bangladesh/crime-justice/news/9-sued-under-dsa-making-comments-ctg-mp-3131406,9 sued under DSA for making comments on Ctg MP,"Nine persons were sued under Digital Security Act (DSA) for allegedly making ""derogatory"" comments against the member of parliament of Chittagong-15 constituency (Satkania-Lohagara) Abu Reza Mohammad Nezamuddin Nadvi and his wife Rizia Chowdhury on Facebook.One Mizanur Rahaman filed the case against nine youths with Chattogram Divisional Cyber Tribunal yesterday (September 29, 2022). It is mentionable that Rizia Chowdhury is a member of the Central Mohila Awami League and also a member of Trustee Board of International Islamic University Chattogram (IIUC), reports our staff correspondent.Plaintiff's lawyer Md Asaduzzaman said taking the case into cognisance, Judge Jahirul Kabir of the tribunal ordered the Police Bureau of Investigation (PBI) to investigate the case and submit the report to the court.The nine are Sharif Ahmed, Soyain Bin Habib, Yousuf Bin Hossain, ASM Ehsanul Haque, Yousuf Ahmed, Kabir Ahmed, Iqbal Hafiz, Saiful Islam, and Mahmud Minhaz.According to the case statement, IICU had observed its fifth convocation at the campus for a few days. In the colourful programme, distinguished personalities including the minister and deputy minister were present.The photos of the programme were shared on social media's different pages and from the pages, outsiders who are not related with IIUC made disrespectful comments against Nadvi and his wife and IIUC, tarnishing social images by spreading fake information, read the case docket."
/news/bangladesh/politics/news/al-has-ensured-fair-environment-polls-pm-3131866,AL has ensured fair environment for polls: PM,"Prime Minister Sheikh Hasina has said that her party has ensured fair environment for polls in the country and people are now able to cast their votes independently.On the contrary, the BNP had destroyed the electoral process by various means that included making fake voters and snatching voting rights of people by engaging terrorists on polls day, she also said.The PM said this in a view exchange meeting with Bangladeshi expatriates in Washington DC, USA yesterday (September 29, 2022).PM's Deputy Press Secretary KM Shakhawat Moon briefed reporters after the meeting.She added that BNP had given nominations to 700 persons against 300 constituencies in the last parliamentary elections and people did not vote for them due to the seat business.""Foreigners should know, they (Bangladeshis) who are now in the hot pursuit to carry out propaganda against the country abroad about the crimes they did in their country,"" she said.The prime minister said Bangladesh is marching ahead towards prosperity and getting the developing country's status due to having democratic process in the country for a long time.""We have to work together to continue the development spree,"" she added.The premier is expected to return home on October 4."
