URLS,Headline,Article
/business/economy/opinion/news/averting-fiscal-crises-deteriorating-global-economic-environment-3138001,Averting fiscal crises in a deteriorating global economic environment,"The war in Ukraine and aftershocks from the Covid-19 pandemic present Emerging Market and Developing Economies (EMDEs) with an extremely challenging external environment shaped by higher food, fertilizer, and energy prices, rising inflation and interest rates, and stagflation risks in advanced economies.Fifteen years ago, spikes in food prices, followed by the global financial crisis, and then by increases in oil prices were sequential and governments addressed each of these crisis separately as and when they occurred. Today the crises are happening all at once.Fiscal policy is the key instruments for governments to mitigate the impact of these shocks on households and businesses, as monetary policy must focus on price stability. Unfortunately, many countries have a depleted fiscal space following the Covid-19 crisis.Options to strengthen fiscal space include reallocating expenditures from lower priority programs toward programs aimed at mitigating the economic and social impacts of the war; improving the efficiency of spending; and raising revenue, including by broadening the tax base, making the tax system more progressive, and reducing tax avoidance and evasion.Even where fiscal space exists, strong inflationary pressures may limit the scope for expansionary fiscal policies. If pent-up demand is the primary driver of inflation, expansionary fiscal policies could exacerbate inflationary pressures by widening the gap between aggregate supply and demand, and so should be avoided.However, if inflation is primarily driven by increases in commodity prices, there may be scope to implement measures that address this to mitigate the impacts on the most vulnerable, especially if an economy's total output of goods and services is significantly below potential.A recent report by the World Bank's Fiscal Policy and Sustainable Growth unit sets out several key issues that can help countries design an appropriate response to these multiple adverse shocks:1. Economy of crisis mitigation measuresLevers to design fiscally sustainable response measures include: (i) affordability the extent to which the instrument impacts fiscal stability; (ii) predictability and control of cost the ability to set upper limits for the cost of a program and reasonably predict costs; (iii) targeting limiting benefits to specific businesses, population groups, or activities; (iv) abuse resistance limiting leakages; and (v) reversibility  the ease with which the response can be withdrawn when appropriate, without causing economic and behavioral distortions.2. Avoid a multiplicity of measures and prioritizeWhere adequate social protection systems exist, it will typically be most efficient to channel support to households by temporarily scaling up existing benefits. Where such systems do not exist, focusing on a priority can help avoid administrative complexity and difficulties in targeting. For many EMDEs, this may be food security.3. Avoid broad tax measuresTax measures are ill suited to mitigate hardship. Broad-based tax measures such as reductions in tax rates or tax exemptions are typically difficult to target. While increases in taxes are quickly reflected in higher consumer prices, a reduction in taxes does not lower prices (unless administrative capacity is very high). Moreover, once a tax rate is reduced, political economy constraints make it difficult to reverse, even if the rate reduction is announced as temporary.4. Review subsidy programmesSharp price increases can swell the cost of existing subsidy programs for food, fertilizer and energy, which are often not or only poorly targeted. To ensure efficient support for the most vulnerable, governments should consider reforms that enhance targeting. This involves strengthening data on vulnerable households, individuals, and businesses. While excluding beneficiaries from programs is politically difficult in an environment of rising prices, governments may at least consider differentiated levels of support based on needs.5. Energy sector interventions should not undermine climate objectivesWhen considering relief measures for high energy prices, it is important to consider the impact on climate objectives:Measures that give temporary relief from peak prices could transition to the introduction of carbon taxes to ensure carbon prices remain at level that is consistent with climate mitigation objectives in the medium- to long-termTargeted social protection measures to compensate vulnerable households facing energy price pressures are preferable to measures that reduce energy prices for consumers.Taxation of windfall gains of producers of carbon-based energy would reduce incentives for harmful investment in carbon-based energy sources.Reduced dependence on fossil fuel imports from Russia by prioritizing investments in renewable energies instead of scaling up domestic hydrocarbon production.6. Developing countries may need support from the international communityMany developing countries, and most importantly low-income and fragile countries, may need support from the international community to mitigate adverse impacts on their economies, households, and businesses. The World Bank Group's response is set out in the Global Crisis Response Framework paper, highlighting engagement in supporting countries to address these fiscal challenges through scaled-up finance, technical assistance, and analytic and advisory activities to support green, resilient, and inclusive development. This includes work on the fiscal options for crises response, monitoring the impact on the poor, design and advocacy for debt solutions for the most vulnerable countries, enhancing the resilience of financial sectors.Chiara Bronchi is a practice manager, fiscal policy and sustainable growth, macroeconomics, trade, and investment global practice at the World Bank. Eric Lacey is a fiscal policy analyst, fiscal policy and sustainable growth, macroeconomics, trade, and investment global Practice. Robert Utz is lead economist, fiscal policy and sustainable growth, macroeconomics, trade, and investment global practice."
/opinion/views/news/remembering-the-queens-legacy-why-do-we-forget-the-suffering-our-ancestors-3138096,"In remembering the 'Queen's legacy', why do we forget the suffering of our ancestors?","When news broke of the death of Queen Elizabeth II, international media houses couldn't stop singing her praise and seducing us with the Queen's corgis, her role as a mother and grandmother, her fashion throughout the ages, even a week after her passing.The most surprising and curious bit however, was how the people of my own nation mourned the late Queen – starting from policymakers to prominent scholars. They posed arguments such as, without the British Empire, the Indian Subcontinent may never have ""modernised"" as it was indeed the British who had introduced the railroad network that spread swiftly across the subcontinent after 1858. But that remains the only argument they could place to legitimise the crown's authority in the region. Many even said that if it weren't for the British, the Indian Subcontinent would've remained backdated. I couldn't help but heave a sigh, as these opinions too were a product of colonisation. And it was greatly concerning that as the colonised, we remember so little of our own history, so much so that we choose to make sense of our horribly gruesome past by rationalising the British authority over our region. To think that the crown had any intention to modernise the Indian Subcontinent is purely ridiculous, as it presupposes that the British Monarchy, that was seeking to consolidate its empire at the time, wasn't acting out of self-interest. In 1820, India's GDP represented 16 percent of the world's total GDP, which, by the end of the British rule in 1947 stood at just four percent. Revenue from India and the export surplus produced by India's overseas trade were used to fund the British government's military and administrative costs to govern colonial control in India. Indigo cultivation was widely extended by the British in areas of Bengal, including the districts of Nadia and Jessore. The British indigo planters, known as nilkor sahebs, persuaded the land tillers to cultivate indigo instead of food crops by leasing land from the zamindars, along with sharecroppers and tenants. Opium sales by the East India Company were incredibly exploitative and led to the destitution of over 1.3 million peasants who farmed poppies in Uttar Pradesh and Bihar.Rajat Kanta Roy, a modern historian, contends that the East India Company's new economy in Bengal during the 18th century was characterised by a type of ""exploitation colonialism"" that contributed to the collapse of the Mughal Empire's traditional economy by depleting food and currency stocks, and enacting high taxes that exacerbated the famine of 1770, which claimed between one and two million lives in Bengal.  Politician and historian Shashi Tharoor put this circumstance in the simplest terms, ""The reason is simple: India was governed for the benefit of Britain. Britain's rise for 200 years was financed by its depredation of India."" Besides, the regiment's self interests are blatantly clear in the way they conducted ""trade"" with our region. The EIC had forced open the Indian market to British goods, which could be sold in India without tariffs or duties, whereas local Indian producers were still being heavily taxed. Britain's protectionist policies, such as bans and high tariffs to restrict Indian textiles being sold in Britain, made sure that only British wealth would aggregate and be invested into the extraction from the subcontinent. Meanwhile, the Indian subcontinent, slowly and surely became trapped in the empire's monopoly. Not only that, the rail network, by design, was made for the convenience of the British trade points at the time and had little to do with the commuters' convenience. And let's not forget one of the biggest scars left on us by the British – the Bengal Famine of 1943, that took the lives of three million of our people. For years, the British establishment had pointed fingers at frequent droughts and weather conditions of Bengal to have been responsible for this tragedy. In truth, the crisis was constructed and was mostly brought on by wartime inflation that made food unaffordable. Economist Utsa Patnaik conducted research that showed that the inflation wasn't accidental, as the majority of people believed, but rather the result of a deliberate policy created by British economist John Maynard Keynes and implemented by Winston Churchill to divert resources away from the most vulnerable Indians in order to feed British and American troops and finance war-related activities. And let's not forget, Churchill tried to blame the famine on our ancestors, emphasising that Indians were ""breeding like rabbits,"" and asking how ""if the shortages are so bad, Mahatma Gandhi was still alive?""Might I also add that the way the Indian Subcontinent was divided in a haste by the British, as they were packing up in 1947, had displaced over 15 million people and killed more than two million in the process of migration. And all because the man hired to complete the demarcation – British lawyer Cyril Radcliffe, who was a newcomer in the region – had never visited, nor cared enough about, the history of the regions he divided.What makes matters even worse is the psychological impact left on the minds of the colonised as an aftermath of the 200 years of British reign. The fact that we automatically associate ""beautiful"" or ""successful"" with the fairness of one's skin, was nailed into our heads through British rule. Lest we forget, ""Glow and Lovely"" was still ""Fair and Lovely"" until very recently. And, the fact that we prefer foreign products and deem them superior to our locally produced ones is also thanks to an imprint of British colonial rule on our psyche. So, what can we do about it? The study of decoloniality best serves this answer. In simplistic terms, decoloniality is a school of thought that critiques the perceived universality of Western knowledge and the superiority of Western culture. As a matter of fact, much of the instances discussed in this piece can be attributed to decolonial education. To think and imagine a world beyond the long-established reign of white dominance and perceived superiority. This education includes bearing an inherent scepticism of what we are told is ""truth"" and ""true knowledge"" in the world, which is crucial since much of what we know is constructed via the hands of the ones who had ruled over us. It also emphasises the need of the colonised to remember their own history – to ensure that we don't forget the turmoil that our ancestors went through, to remember that ours is a nation that was thought to be backward, and to never forget that we could've been so much more, if all that we had wasn't looted away from us. To remember and to be informed are the most important duties that the colonised bear. If we don't fulfil these duties, our own history will be erased and rewritten right before our eyes – and we won't be able to do much about it. Nazifa Raidah is a journalist and sub-editor at The Daily Star. Reach her at nazifa@thedailystar.net 
"
/news/bangladesh/news/temple-idol-vandalised-jhenidah-3137556,Temple idol vandalised in Jhenidah,"Unidentified miscreants vandalised an idol of Kali inside a temple in Jhenidah's Shailkupa upazila on Thursday night.The incident occurred at Dauti Kali Mandir in the upazila's Dhalharachandra union.Around 5:00am yesterday, locals saw the broken idol and informed police.Shailkupa police visited the temple and started an investigation. They are talking to the temple committee members and locals, they said.According to police and locals, on Thursday night, someone broke the lock of the temple's main gate and vandalised the idol.The process to file a case with Shailkupa Police Station was underway, said Aminul Islam, the station's officer-in-charge."
/news/bangladesh/crime-justice/news/attack-bcl-men-24-chhatra-odhikar-parishad-activists-sent-jail-3138111,"""Attack on BCL men"": 24 Chhatra Odhikar Parishad activists sent to jail","A Dhaka court has sent 24 leaders and activists of Chhatra Odhikar Parishad to jail in a case filed against them by two BCL leader and activist on charges of lunching an attack on them yesterday (October 8, 2022).Dhaka Metropolitan Magistrate Shahidul Islam passed the order after hearing in the case today (October 8, 2022).Central BCL Organising Secretary Nazim Uddin and Dhaka College BCL activist Aminur Rahman filed 2 cases against the Chhatra Odhikar Parishad leaders and activists.Shahbagh police later arrested 24 people in connection with the two cases. Also, they have also been shown arrested in the case filed by Nazim Uddin.According to the case statement, the accused entered Dhaka Medical College Hospital (DMCH) and attacked the plaintiff and his friends with sticks, hockey sticks, iron rods and locally-made weapons with an intention of killing them. They also took away cash and some important documents with them.The court fixed October 11 as the next date for hearing on the bail petitions filed by the accused."
/opinion/views/news/shanghai-cooperation-organization-summit-2022-new-context-new-directions-3138126,"Shanghai Cooperation Organization Summit 2022: New context, new directions","The Shanghai Cooperation Organization's (SCO) 22nd annual summit of heads of states took place in Samarkand, Uzbekistan, on September 15 and 16, 2022. What we have seen is that the summit was held at a very significant time since its inception, particularly as the world right now is experiencing a new reality. It took place at a time when Russia, China, and their allies are at loggerheads with the West. In fact, the West has visibly been facing a resurgent China and Russia over the past decade.Russia is currently engaged in a war against Ukraine, but the underlying fact is that the war is taking place between Russia and the West. The relationship between Russia and the West is not only marked by war but also by economic and cultural dimensions. Of course, the war is being fought according to strategic calculations. Russia has historically been tagged as a threat by the West and now the war has added a new dimension to the situation.On the other hand, the Taiwan crisis has further deteriorated, and very recently, US President Joe Biden had expressed his will to support Taiwan under any circumstances. Though the crisis in Taiwan has been somewhat defused, it continues in different forms. The Ukraine war and the Taiwan crisis have already led to different strategic and economic implications for the world.China was the one who started the Shanghai Cooperation Organization. Since the Belt and Road Initiative (BRI) is not a formal regional or global organisation, SCO got the privilege to maintain its institutional format and has become an effective multilateral forum for China. However, as indicated above, the SCO summit 2022 becomes very significant considering the context. The presence of the Indian Prime Minister Narendra Modi carried a strong message from the platform since his presence was not certain prior to the visit as China and India have recently fought over border issues and they remain largely hostile in the policy domain. The Ukraine war somehow put the two neighbouring rival states on a common platform, but the overall atmosphere between the two is antagonistic in nature and is marked by differences and disagreements with the divergence of threats and perceptions of security and peace.The SCO emerged as a major platform where for the first time during the time of Covid-19 the Chinese President Xi Jinping went for a bigger gathering. From that point of view, it was an opportunity for the Chinese president to meet with the Indian and the Russian leaderships in person. The platform also provides a triangular format of talks to communicate where current global issues were discussed. One of the major issues that featured prominently was the Ukraine war. The Indian prime minister asked for an end to the Ukraine war and the Russian leadership responded that they also wanted it to end.The position of India reflects different realities. The Ukraine war cannot be justified based on the United Nations charter or international law and norms. Therefore, India, or for that matter, any country, has the moral ground to ask for an end to the war. However, Russian President Vladimir Putin took it in a very diplomatic way. He responded by saying that Russia also wanted to end the war. Russia could not deny the Indian leader's concerns about the war. It was a diplomatic victory for India for two reasons. The first is that it has upheld India's recent non-aligned position that it maintains distance from bandwagoning its powerful allies in the West. The other is that it must have pleased the western world as India raised the issue of stopping the war. They might take some kind of satisfaction because Russia was under some pressure.The SCO conference carries a great deal of significance for another issue, that is, outside Europe or the West, this is the platform barring Brics that offered the opportunity to three dominant global actors – China, India and Russia – to meet in person and discuss bilateral and multilateral issues. Besides, India is expanding its sphere of influence, and China and Russia are doing the same. These three powers have formidable military and economic capabilities and they are building their own position in global politics, although they have their differences.Apart from these three, the SCO has other prominent members. Their participation was also very significant because this particular organisation is becoming the alternative to the West-led processes. Although members of SCO have affiliations with other actors like the USA, Germany, UK, France, and Australia on the one hand, Asia-Pacific Economic Cooperation (APEC), Quadrilateral Security Dialogue (QUAD), or even Indo-Pacific Economic Framework (IPEF), SCO provides some different insights. In the present context, Asian or African countries may search for a platform, which would be significant geopolitically and economically outside of Europe or the West. One cannot deny the fact that the West carries the baggage of colonial legacy and maintaining hegemony. The world had moved from the ""Pax Britannica"" to ""Pax Americana"" and is now in a flux. This forum serves as a geopolitical platform in the context of the current world order.The SCO has observer states and dialogue partners. It may soon accept new members. On a significant note, Turkiye has shown its interest to join the organisation. Therefore, the timing of the conference was very critical.The conference has particularly benefitted China and Russia, giving them the opportunity to interact with other countries including India at a point of time when the western world is trying to isolate China and Russia in different ways. From that diplomatic point of view, the summit was successful. And another diplomatic outcome is that the Chinese president visited the Central Asian countries to boost its bilateral ties. The Central Asian states have huge geopolitical importance and have closer ties with Russia. Many of them, after their independence, got assistance from the USA and the West. Despite the West's presence in the region, over the years, China and Russia have been able to maintain their dominant role in the region. The West may see this as a looming challenge to their new diplomacy and strategic manoeuvring in the world.Dr Delwar Hossain is a professor of international relations at Dhaka University and a security and global affairs analyst."
/environment/natural-resources/wildlife/news/hoolock-rescued-ctg-2-detained-3137941,Hoolock rescued in Ctg; 2 detained,"Police and forest officials rescued a hoolock gibbon, locally called Ulluk, while being trafficked to Chattogram city from its Lohagara upazila this morning.Two alleged traffickers -- Mazhar and Momin – were also detained in this connection, our Chattogram staff correspondent reports quoting police.Md Atiqur Rahman, officer-in-charge of Lohagara Police Station, told The Daily Star, ""They were detained in front of Chunti Forest Office in Lohagara beat area following secret information.""""The wild animal was captured from Ali Kadam of Bandarban and later was brought to Lohagara via Chakaria upazila. The two were taking it to Chattogram's Riazuddin Bazar Nice Bard Garden pet shop to sell,"" OC Atiq told The Daily Star."
/news/bangladesh/accidents-fires/news/4-killed-gopalganj-road-crash-3137786,4 killed in Gopalganj road crash ,"Four people, including a policeman, were killed in a road accident on Dhaka-Khulna highway in Gopalganj Sadar upazila yesterday morning.Of the dead, Abdul Alim, 30, was a member of Barishal Metropolitan Police, and Joynal Abedin, 22, a resident of Bagerhat Sadar upazila. The identities of the  other two deceased could not be known immediately, said police.The accident took place as the driver of a Bagerhat-bound Didar Paribahan bus lost control over the vehicle and hit a roadside tree, said Nasir Uddin, officer-in-charge of Gopalganj Sadar Police Station.The four died on the spot. At least 15 more were injured in the accident, he said, adding that the injured were rushed to Gopalganj General Hospital for treatment.Of the injured, 10 were admitted to the hospital and two were referred to Khulan Medical College Hospital, said Faruq Ahamed, residential medical officer of Gopalganj General Hospital.Monirul Islam, one of the passengers on the bus, claimed the accident occurred due to reckless driving."
/news/world/news/unusual-gift-putin-his-70th-birthday-3137981,An unusual gift for Putin on his 70th birthday,"Russian President Vladimir Putin got an unusual gift for his 70th birthday on Friday: a tractor.As the leaders of several ex-Soviet nations met at the Czarist-era Konstantin Palace in St Petersburg, President Alexander Lukashenko of Belarus presented Putin with a gift certificate for the vehicle. Tractors have been the pride of Belarusian industry since Soviet times.Lukashenko, an autocratic leader who has ruled the ex-Soviet nation with an iron hand for nearly three decades while cultivating a man of the people image, told reporters he used a model in his garden similar to the one he gifted Putin.It wasn't clear how the Russian leader responded to the gift, which Lukashenko's office revealed.Putin didn't mention the gift in televised remarks at the start of the meeting when he talked about the need to discuss ways of settling conflicts between ex-Soviet nations.He also emphasized the need to exchange information to fight terrorism, illegal drugs and other crime.The leaders of the Commonwealth of Independent States, a loose alliance of ex-Soviet nations, have another gathering to attend next week in Kazakhstan's capital of Astana."
/news/bangladesh/news/seminar-managing-pain-held-3137551,Seminar on managing pain held,"An international seminar on  interventional pain management was held at Sheikh Fazilatunnessa Mujub Memorial KPJ Specialized Hospital in Gazipur on Thursday.SK+F Pharmaciticals Ltd sponsored the seminar titled ""Interventional Pain Management. It's Beyond…""Interventional pain management is a method which utilises pain blocking techniques to help make day-to-day activities less difficult, and effectively restore quality of life for patients.Prof AKM Akhtaruzzaman, chairman, Department of Anesthesiology at Bangabandhu Sheikh Mujib Medical University, was present at the event as chief guest.Zaiton Sulaiman, chief executive officer of KPJ Sentosa KL Specialist Hospital in Malaysia, was present as special guest while Prof Nizar Abd Jalil, interventional pain management specialist, KPJ Sentosa KL Specialist Hospital, was the keynote speaker."
/business/news/opec-oil-output-cut-shows-widening-rift-between-biden-and-saudi-royals-3138041,OPEC+ oil output cut shows widening rift between Biden and Saudi royals,"The OPEC+ organisation's decision this week to cut oil production despite stiff US opposition has further strained already tense relations between President Joe Biden's White House and Saudi Arabia's royal family, once one of Washington's staunchest Middle East allies, according to interviews with about a dozen government officials and experts in Washington and the Gulf.The White House pushed hard to prevent the OPEC output cut, these sources said. Biden hopes to keep US gasoline prices from spiking again ahead of midterm elections in which his Democratic party is struggling to maintain control of the US Congress. Washington also wants to limit Russia's energy revenue during the Ukraine war.The US administration lobbied OPEC+ for weeks. In recent days, senior US officials from energy, foreign policy and economic teams urged their foreign counterparts to vote against an output cut, according to two sources familiar with the discussions.Amos Hochstein, Biden's top energy envoy, along with national security official Brett McGurk and the administration's special envoy to Yemen Tim Lenderking, traveled to Saudi Arabia last month to discuss energy issues, including the OPEC+ decision.They failed to prevent an output cut, just as Biden did after his own July visit.US officials ""tried to position it as 'us versus Russia,'"" said one source briefed on the discussions, telling Saudi officials they needed to make a choice.That argument failed, the source said, adding that the Saudis said that if the United States wanted more oil on the markets, it should start producing more of its own.The United States is the world's No. 1 oil producer and also its top consumer, according to data from the US Energy Information Administration.The Saudi government media office CIC did not respond to Reuters emailed requests for comment about the discussions.""We are concerned first and foremost with the interests of the Kingdom of Saudi Arabia and then the interests of the countries that trusted us and are members of OPEC and the OPEC + alliance,"" Energy Minister Prince Abdulaziz told Saudi TV Wednesday.OPEC weighs its interests with ""those of the world because we have an interest in supporting the growth of the global economy and providing energy supplies in the best way,"" he said.Washington's handling of the Iran nuclear deal and withdrawal of support for a Saudi-led coalition's offensive military operations in Yemen have upset Saudi officials, as have actions against Russia after the February 2022 invasion of Ukraine.A US push for a price cap on Russian oil is causing uncertainty, Energy Minister Prince Abdulaziz bin Salman told Bloomberg TV after the OPEC cut, noting the ""lack of details and the lack of clarity"" about how it will be implemented.A source briefed by Saudi officials said the kingdom views it as ""a non-market price-control mechanism, that could be used by a cartel of consumers against producers.""A Biden-directed sale of 180 million barrels of oil in March from the US Strategic Petroleum Reserve put downward pressure on oil prices. In March, OPEC+ said it would stop using data from the International Energy Agency (IEA), a Western oil watchdog, due to Saudi-led concerns the United States had too much influence.On Thursday, Biden called the Saudi decision ""a disappointment"", adding Washington could take further action in the oil market.""Look it's clear that OPEC Plus is aligning with Russia,"" White House press secretary Karine Jean-Pierre said on Wednesday. She would not elaborate on how the output cut would affect US-Saudi relations. In the US Congress, Biden's Democrats called for the withdrawal of US troops from Saudi Arabia and spoke about taking back weapons.""I thought the whole point of selling arms to the Gulf States despite their human rights abuses, nonsensical Yemen War, working against US interests in Libya, Sudan etc, was that when an international crisis came, the Gulf could choose America over Russia/China,"" Senator Chris Murphy, a Democrat, said on Twitter.Saudi minister of state for foreign affairs Adel Al-Jubeir, said in remarks to Fox News on Friday when asked about the US criticism: ""Saudi Arabia does not politicize oil or oil decisions.""""With due respect, the reason you have high prices in the United States is because you have a refining shortage that has been in existence for more than 20 years,"" he added.CROWN PRINCE AND BIDENWeeks after Biden took office as president, Washington released a report tying the 2018 killing of journalist Jamal Khashoggi to Crown Prince Mohammed bin Salman.The prince, son of King Salman, 86, has denied ordering the killing but acknowledged it took place ""under my watch"".The prince became prime minister last month and his lawyers have been arguing in a US court that this makes him immune from prosecution in the Khashoggi death.Biden's trip to Jeddah, Saudi Arabia, in July for a Gulf summit was aimed at patching up relations, but he also levied harsh criticism of bin Salman over Khashoggi's murder.Ben Cahill, a senior fellow at the Center for Strategic and International Studies, said the Saudis hope the production cuts will give OPEC+ control over oil prices and ensure enough oil revenue to protect their country from a recession.""The macroeconomic risk is getting worse all the time, so they have to respond,"" Cahill said. ""They are aware that a cut will irritate Washington, but they are managing the market."""
