URLS,Headline,Article
/business/economy/news/creating-jobs-bringing-home-dollars-3135206,"Creating jobs, bringing  home dollars","The outsourcing of graphic designing and image editing holds great promise for Bangladesh as many are already earning foreign currencies riding on the boom in digital businesses worldwide. India, the Philippines and Vietnam have long been among the major markets for outsourcing for global clients, but Bangladesh has also become a favourite destination owing to lower prices and the ability to deliver large-scale work.Currently, 7,000 people are working at more than 100 small and medium companies in the graphic designing and image editing segment of the country. Another 50,000 are working as freelancers, according to an estimate by industry people.The growing demand for digital designs for e-commerce, catalogues, brochures, magazines, printings, newspapers, signboards, and business cards has created plenty of opportunities for local freelancers and firms.""Worldwide, the e-commerce boom has played a significant role in raising orders for graphic design and image processing,"" said Nazim Farhan Choudhury, chief executive officer of GraphicPeople.India, the Philippines and Vietnam have long been among the major markets for outsourcing for global clients, but Bangladesh has also become a favourite destination owing to lower prices and the ability to deliver large-scale work India, the Philippines and Vietnam have long been among the major markets for outsourcing for global clients, but Bangladesh has also become a favourite destination owing to lower prices and the ability to deliver large-scale work Located in Dhaka, GraphicPeople is an offshore studio providing digital print and production support services to advertising agencies and brands, and counts Dell and Microsoft among its customers. It employs about 250 people.With e-commerce and digital business thriving, the need for pictures and video has gone up. Large studios are flourishing in the global market.The segment even has the potential to diversify the export basket as basic skills are needed to get jobs in graphic design and image processing, said industry people.""What we are doing now is that we are providing backend editing and corrections. But we can be as large as the garment industry,"" Choudhury said.He said the garment sector, which accounts for about 85 per cent of Bangladesh's over $52 billion export earnings in the last fiscal year, has done a remarkable job. But, average salaries and export earnings per worker in the graphic designing and image editing segment are much higher than that of the apparel industry.""The value-edition is about 20 per cent in the garment sector whereas it is close to 100 per cent in the graphic designing and image editing segment.""The outsourcing of graphic designing and image editing is part of the business process outsourcing sector and the broader IT-enabled services industry.Bangladesh earned less than $500 million from the exports of IT-enabled services in the last fiscal year, data from the Export Promotion Bureau showed.However, the Bangladesh Association of Software and Information Services (BASIS), the national trade body for software and IT-enabled services, put the figure at $1.3 billion since a significant portion of the overseas income is either brought into the country through unofficial channels or is not fetched at all.The global business process outsourcing market size was valued at $251 billion in 2021 and expected to reach $492 billion by 2028, said California-based newswire distribution network GlobeNewswire, citing data from SkyQuest Technology Consulting Pvt Ltd, an Indian firm.Skill-based training with an emphasis on student loans and certification, recognising companies with more than 500 employees as economic zones, and treating IT-enabled services as emergency services could propel the industry to a higher level and consistently support clients, said Choudhury.Mainly two groups of people work in the segment: individual freelancers working with marketplaces such as Upwork and Fiverr, and the other group that is employed by small and medium-sized firms.Kamruzzaman Sishir, a top-rated character illustrator at Fiverr, a global online marketplace for freelance services, said: ""It's a market with a huge potential.""But earnings depend on skills and there is stiff competition for the designing tasks that need basic skills.""Creativity matters. Some people with a six-month training might not land a job in designing whereas someone can win many orders with the same amount of training thanks to creativity,"" Sishir added.A skilled graphic designer and image editor can command six-figure salaries easily whereas someone with a lower level of skills struggles to earn Tk 15,000, according to the freelancer.The KOW Company, a content post-production management company with a focus on image and image editing, began its journey in 2014 with a three-member team and a one-room office in Dhaka's Bangla Motor. Today, it has grown into a family of more than 500 individuals working with 25 studios globally and processing around 25,000 photos every day.Kowser Ahmed Nirob, CEO and founder of The KOW Company, thinks image editing, computer-generated imagery, 3D, and content post-production segments have a big potential to fetch foreign currencies.From Bangladesh, many people go to the Middle East spending Tk 5 lakh to Tk 6 lakh. Many of them have to sell land to manage the fund. But the return is very low.""If they get proper training, they can earn foreign currencies sitting at home within a few months. Besides, graphic design and related verticals require basic skills to land jobs,"" said Nirob.According to the entrepreneur, it takes more than two years to become a skilled software developer.""But for image processing, if you train someone for six months, you will get a skilled worker to get your job done.""Wahid Sharif, president of the Bangladesh Association of Contact Center and Outsourcing, said as e-commerce and digital needs are thriving globally, the demand for image processing and related segments is growing fast.""It is one of the most promising areas in the business process outsourcing.""Russell T Ahmed, president of the BASIS, said creativity and basic skills are needed to flourish in the world of graphic designing and image editing.""For a graphic design or image editing job, you don't need a graduate in computer science and engineering. A graduate in the humanities and other areas can do it with training,"" he said.Ahmed underscores branding for the industry as well.""We are lagging when it comes to branding. If we can brand well, our firms will get smooth access to the global market,"" he said."
/news/bangladesh/news/uk-us-visit-pm-address-media-tomorrow-3135511,"UK, US visit: PM to address media tomorrow","Prime Minister Sheikh Hasina will address a press conference tomorrow afternoon (October 6, 2022) on the outcome of her recent official trip to the UK and the USA.The press conference will start at 4pm at her official residence Gono Bhaban, PM's Press Secretary Ihsanul Karim said.PM Hasina returned home yesterday (October 4, 2022) after completing her 18-day visit.She went to London on September 15, mainly to attend Queen Elizabeth II's funeral and a reception hosted by King Charles llI.On September 19, she left London for New York while on September 24 she went to Washington DC.Sheikh Hasina addressed the 77th session of the United Nations General Assembly on September 23. She also took part in several events on the sidelines of the UNGA."
/news/world/news/south-korean-missile-fails-after-successful-north-korean-rocket-test-3135506,South Korean missile fails after successful North Korean rocket test,"A malfunctioning South Korean ballistic missile blew up as it plowed into the ground Wednesday during a live-fire drill with the United States that was a reprisal for North Korea's successful launch a day earlier of a weapon that flew over Japan and has the range to strike the US territory of Guam.The explosion and subsequent fire panicked and confused residents of the coastal city of Gangneung, who were already uneasy over the increasingly provocative weapons tests by rival North Korea. Their concern that it could be a North Korean attack only grew as the military and government officials provided no explanation about the explosion for hours.South Korea's Joint Chiefs of Staff said no injuries have been reported from the explosion, which involved a short-range Hyumoo-2 missile that crashed inside an air force base in the outskirts of the city. It said the crash didn't affect any civilian facilities.During the same drill, the US military launched four of its own missiles that are part of the Army Tactical Missile System and South Korea fired another Hyumoo-2 successfully. The homegrown missile is key to South Korea's preemptive and retaliatory strike strategies against the North and is a version of a Russian-designed Iskander missile, which is also possessed by the North.Kwon Seong-dong, a ruling party lawmaker representing Gangneung, wrote on Facebook that a ""weapons system operated by our blood-like taxpayer money ended up threatening our own people"" and called for the military to thoroughly investigate the missile failure. He also criticized the military for not issuing a notice about the failure while maintaining a media embargo on the joint drills.""It was an irresponsible response,"" Kwon wrote. ""They don't even have an official press release yet.""South Korea's military acknowledged the missile malfunction hours after internet users raised alarm about the blast and posted social media videos showing an orange ball of flames emerging from an area they described as near the air force base. It said it was investigating what caused the ""abnormal flight"" of the missile.Officials at Gangneung's fire department and city hall said emergency workers were dispatched to the air force base and a nearby army base in response to calls about a possible explosion but were sent back by military officials.The US and South Korean militaries are conducting the joint exercises to show their ability to deter a North Korean attack on the South. In addition to missile launches, they involved bombing runs by F-15 strike jets using precision munitions.North Korea's successful launch of a nuclear-capable ballistic missile hours before the drills was the country's most provocative weapons demonstration since 2017 and was its fifth round of weapons tests in 10 days.That missile has a range capable of striking Guam, which is home to one of the largest military facilities maintained by the US in Asia. North Korea in 2017 also tested missiles capable of hitting the continental United States.North Korea has fired nearly 40 ballistic missiles over about 20 different launch events this year, exploiting Russia's war on Ukraine and the resulting deep divide in the UN Security Council to accelerate its arms development without risking further sanctions.Its aim is to develop a fully fledged nuclear arsenal capable of threatening the US mainland and its allies while gaining recognition as a nuclear state and wresting concessions from those countries.The United States, Britain, France, Albania, Norway and Ireland called for an emergency meeting of the UN Security Council over the latest North Korean launch. Diplomats said it is likely to be held Wednesday, but it's not certain whether it will be open or closed."
/business/economy/news/4ir-e-sports-and-bangladesh-3135166,"4IR, e-sports and Bangladesh","Rapidly adapting to changes driven by industrial revolutions is what allows a nation to earn its rightful place in the world. The Third Industrial Revolution marked the beginning of the digital age and globalisation, inadvertently creating what we now call 'pop culture', allowing technologies to become the definitive vehicle of entertainment around the world. The Fourth Industrial Revolution (4IR) started around the turn of the new millennium, but its influence can already be felt in every aspect of modern life. With smartphones and wireless internet connectivity having achieved ubiquity, social media has become an integral part of our lives, supported by artificial intelligence and deep-learning algorithms.It has enabled our entertainment options to take new forms, turning streaming video, e-books, and of course, modern video games into new global standards.With breathtaking graphics and stunning audio, these games can be enjoyed even on smartphones, and many of them are focused on competitive online multiplayer, allowing scores of players to compete against each other over internet.Dedicated tournaments of such games, affectionately called e-sports, have already taken the world by storm.While traditional forms of physical sports remain profitable and popular, they are rather restrictive, given their deeply segregated tiers and divisions. But the vastly cerebral and online nature of e-sports ensures that they are unfettered by international borders, and even a wheelchair-bound teenage girl from Bangladesh can go toe to toe with a European professional e-sports player from halfway around the world and actually win, should she have the skills to do so, without even having to be in the same continent, let alone in the same physical arena.E-sports offer greater foundations of equality, tolerance and acceptance, where issues such as age, gender, ethnicity and/or many kinds of physical handicaps are irrelevant, and players are gauged solely on the basis of their talents and abilities. Anyone with the skills, the reflexes and the will can become a formidable force.Purely intellect-driven sports such as chess have always enjoyed a dedicated following, but e-sports can enjoy far more widespread viewership because of their breakneck pacing, vibrant visuals and innately flashy nature, making them far more suitable as universally appealing spectator events.Even in purely monetary terms, e-sports are impacting the industry in seismic ways. The planning, creation and governance of new intellectual properties alone are worth billions of dollars, not to mention the production of tie-in properties based on the rich lore of these games. These enable countless new job opportunities to exist at every level of this industry, where Bangladesh, with its abundance of talent, can become a powerful player.It is, therefore, of critical importance that the government of Bangladesh takes the necessary steps to scout out, nurture and train talents from our country for this very purpose.In the context of the ongoing 4IR, denying the impacts of technologies in our lives – especially in the fields of entertainment and wholesome competition – can only drive us further away from it. E-sports can build bridges where traditional sports can't, and Bangladesh must embrace it. Unless we accept the future, the future will not accept us.The author is the founder of the Bangladesh Esports Association "
/news/bangladesh/news/patients-suffered-the-most-3135156,Patients suffer the most,"Chattogram Medical College Hospital struggled to nebulise children with pneumonia and shortness of breath yesterday, while nurses of Bangladesh Shishu Hospital and Institute used mobile phone flashlights to administer injections.Caused by a failure in the national grid, the power outage that lasted between four and eight hours from around 2:00pm disrupted life in the capital and many other parts of the country.The blackouts in Dhaka, Chattogram, Sylhet and Mymensingh divisions also caused acute water crises in many homes.But it was hospital patients who suffered the most discomfort, as well as danger, due to the blackout.At CMCH, the authorities ran their services on a limited scale, reports our staff correspondent.Around 4:30pm, vulnerable patients in the children's ward could not be nebulised. There were hundreds of patients in the ward.Ward doctor Farhana Noorin told The Daily Star that the nebuliser was closed due to lack of electricity. The AC was not running, and neither were ceiling fans.Electricity supply in the area resumed only around 7:40pm.There was no electricity supply at wards of the National Institute of Traumatology and Orthopaedic Rehabilitation in Dhaka, Prof Abdul Gani Mollah, director of NITOR, told The Daily Star.However, services at OT, ICU, CCU, and HDU went on normally due to generator backup, he said, adding that the emergency department also ran as usual.Our correspondent found nurses administering injections to patientsusing mobile flashlights at the wards of Bangladesh Shishu Hospital and Institute.There was no power supply at wards and the general surgery remained shut at the Shaheed Suhrawardy Medical College and Hospital, confirmed Khalilur Rahman, the director of the hospital.The hospital authorities kept the emergency department and operation theatre open with the help of a generator.Elsewhere, normal life was disrupted as city dwellers used mobile flashlights to walk on roads while roadside shops and kitchen markets were illuminated by candles.Many people were found frantically looking for alternative ways to illuminate their homes.After the national grid line failure, people rushed to nearby refilling stations to purchase fuel to power their generators.Our correspondents found long queues in at least two petrol pumps with people clamouring for either diesel or petrol to keep their generators operational.Ashik, a caretaker of an apartment building in Dhanmondi, rushed to Sadek Khan Petrol Pump. ""After waiting four hours I could buy only 55 litres of diesel,"" he said, adding that he needed 55 more litres.Power outages also disrupted telecommunication and internet services in the country. Mobile phone users around the country claimed to face difficulties in making calls and using the internet.Due to the sweltering heat, staying at home was not easy for people.Speaking to The Daily Star, Mominul Haque, an employee of a private bank, said he did not buy candles in the hope that his IPS would provide backup power.""But it [IPS] did not last long … Now we're sitting in complete darkness amid this hot weather,"" he said.ATMs of different banks in many areas were found shut as their backup power died.Abdur Rahim, employee of a private organisation, tried to withdraw cash from ATM booths in Savar. ""Security guards told me they shut booths as backup power ran out,"" he said. "
/environment/natural-resources/energy/news/businesses-dealt-blow-3135461,Businesses dealt a blow,"Business and industrial activities were disrupted for several hours since yesterday afternoon as the national power grid failed, plunging half of the country into darkness.Many factories, including export-oriented garment units in Gazipur, Narayanganj, Savar and Ashulia, could operate for more than six hours with standby generators. Many others had to suspend their operations early.Shopping malls in the capital also suffered losses due to the blackout. Private offices were affected because of disruptions in telecommunication and internet connections, while ATM booths of many commercial banks also went out of service.Some banks had to wait till night to settle transactions through electronic networks.People queued up in front of filling stations had to wait for hours to collect diesel for generators to keep offices and other establishments running. Many returned without diesel after waiting for several hours.""We could not run [our] factories even though we have standby generators. Filling stations were not able to meet the demand of the buyers,"" said Shahidullah Azim, vice-president of Bangladesh Garment Manufacturers and Exporters Association.He said the garment sector normally produces items worth $150 million every day. But yesterday's power failure caused production losses worth $50 million.Saiful Islam, president of the Metropolitan Chamber of Commerce and Industry, said no electricity means no production and stopping of the industrial units.The cost of doing business has been on the rise in recent months because of load shedding, he said.Shamsul Haque, director of KSRM Group, a leading steel maker, said that production of steel requires uninterrupted power supply. He said they had to stop production yesterday for some time due to the power outage since noon.""We continue our production with backup electricity for about two to three hours. If there is any blackout for a longer period, our production gets affected.""Syed M Tanvir, a director of Pacific Jeans Ltd and director of Chittagong Chamber of Commerce and Industry, said that there was no impact of the blackout on the Chattogram Export Processing Zone as it gets electricity from a specific power producer.However, productions in the garment and other industrial factories located outside the CEPZ were disrupted. Many continued their production by cutting the duration of shifts.Md Fazlul Hoque, managing director of Plummy Fashions Ltd, a leading knitwear manufacturer and exporter based in Nararyanganj, said power went off around 1:10pm.""We had to let our second-shift workers go home around 6:30pm amid uncertainty over when the power connectivity would be restored. We kept our factory running with standby generators.""Helal Uddin, president of Bangladesh Dokan Malik Samity, said traders in different parts of the country had to shut their stores before the sun went down.Rizwan Rahman, president of Dhaka Chamber of Commerce and Industry, said the government has to find out why the national grid failed."
/sports/cricket/news/rossouws-dream-ton-helps-south-africa-thrash-india-third-t20-3135496,Rossouw's 'dream' ton helps South Africa thrash India in third T20,"South Africa's Rilee Rossouw on Tuesday called his maiden Twenty20 international century coming against a ""world class"" India ""special"" after he helped the tourists to a consolation 49-run win in the third match.The left-handed Rossouw, who came into his 21st T20 for South Africa on the back of two ducks, made an unbeaten 100 in 48 balls to steer the team to 227-3 after being invited to bat first in Indore.South African bowlers then combined to bowl out India for 178 in 18.3 overs, but the hosts took the three-match series 2-1 -- their first ever against the Proteas at home -- after winning the first two matches.It was the last match for both the teams ahead of the T20 World Cup in Australia starting later this month and the 32-year-old Rossouw made it count for the tourists.""(India are) a world class side, I would say, it (the knock) was special,"" man of the match Rossouw said of his ton against the top-ranked T20 team in the world.""It is something that you dream of as a cricketer, to score a hundred in front of a packed crowd and I am glad I could contribute for the winning side tonight.""Quinton de Kock, who hit 68 off 43 balls, and Rossouw put on 89 for the second wicket after skipper Temba Bavuma, who got ducks in the two losses, fell for three.Rossouw survived a dropped catch on 24 by Mohammed Siraj in the deep as the ball popped out of his hands for a six. De Kock made his second successive fifty with a hit over the fence off Umesh Yadav.The pair hit eight sixes between them before the partnership ended with De Kock's run out in his attempt to steal a second run.- India's bowling woes -
Rossouw, who hit eight sixes, then got going with Tristan Stubbs in another big partnership of 87 and surpassed his previous best of 96 not out to reach his hundred in 48 balls.Stubbs, who was warned by pace bowler Deepak Chahar for backing up too far at the non-striker's end when on 13, made 23.Rossouw finished unbeaten and David Miller, who hit a 100 in the second T20, smacked three straight sixes in the final over from Chahar to score an unbeaten 19 off five balls.India captain Rohit Sharma said bowling remains one of the things to be worked upon before heading into the World Cup Down under.""Areas of concerns, we have to look at our bowling, what more options we can find in the powerplay, middle and death,"" said Rohit whose side also beat Australia 2-1 in a three-match T20 series last month.""We were playing two quality sides, (we) have to go back and see what we can do better. It will be challenging and we need to find answers, still working towards that.""India's chase started badly as they lost two early wickets including Rohit for a duck after the opener got an inside edge on to his stumps from pace bowler Kagiso Rabada.Wicketkeeper-batsman Rishabh Pant (27) and Dinesh Karthik (46) attempted to revive the chase in an attacking partnership of 41 off 20 balls.Pant got out after hitting three fours and two sixes in his 14-ball knock, but Karthik kept up the charge.Left-arm spinner Keshav Maharaj denied Karthik his fifty after the batsman attempted a reverse scoop only to be bowled.The rest of the batting, which missed Virat Kohli and KL Rahul who were rested, failed to challenge the bowlers apart from Chahar who made a valiant 31 of 17 balls.Fast bowler Dwaine Pretorius, who came in for the rested Anrich Nortje, stood out with figures of 3-26 in his 3.3 overs."
/youth/education/news/no-campus-housing-most-public-univ-teachers-3135481,No on-campus housing for most public univ teachers,"A staggering 78 percent of public university teachers have no on-campus residential facilities, hampering their daily activities like taking classes or doing research work.According to the latest annual report of the University Grants Commission, only 22 percent of 15,426 public universities have on-campus housing for teachers.UGC officials said the lack of campus residences for teachers has been a long-standing problem.In 2016, 77 percent of the public universities did not have such facilities, and in 2011 it was 75 percent, they said. Teachers also pointed out that as most of them stay outside the campus, interactions with students are not satisfactory.Those who have to live outside the campus also have to spend a large part of their salaries on house rent.They also had to spend extra time and money on commuting to and from university.Many teachers alleged they had to unwillingly join ""teacher politics"" or had to have ""good connections with ruling party-backed teacher organisations"" in order to get residential facilities or have an apartment allotted to them.Prof Nizamul Hoque Bhuiyan, general secretary of the Federation of Bangladesh University Teachers Association, said if a teacher can have on-campus housing, they can reach classes on time.Teachers and other university officials, like provosts and tutors, living in metropolitan cities suffer the most as commuting through traffic renders them unable to respond quickly to emergency situations, said Nizamul, also the GS of Dhaka University Teachers' Association.Against this backdrop, the country is observing World Teachers' Day today with the theme -- ""The Transformation of Education Begins with Teachers"".Since 1994, the World Teachers' Day is observed annually to celebrate the contribution of teachers around the globe.It is a day to celebrate how teachers are transforming education but also to reflect on the support they need to fully deploy their talent and vocation, and to rethink the way ahead for the profession globally.Former UGC chairman AK Azad Chowdhury said that on-campus housing for teachers offers numerous benefits to both teachers and students and could help develop their interaction.Teachers will be able to spend more time on their research and guide students' researches, said Azad, also former vice chancellor of Dhaka University.Contacted, UGC Secretary Ferdous Zaman said a teacher of a public university in Dhaka gets 50 percent of house rent included in their salaries, while those in divisional cities get 45 percent and teachers in district towns get 40.""We are aware of the shortage of residential facilities for public university teachers. We are taking initiatives in this regard.""He added, ""In many places teachers don't want on-campus housing as the house rent allowance will then be deducted from their salaries.""Asked about teachers' allegations about having to join teacher politics, he declined to make a commentHe, however, admitted that many people refuse to work in newly established public universities due to the lack of residential and other facilities."
/entertainment/tv-film/news/black-panther-wakanda-forever-official-trailer-out-3135436, ‘Black Panther: Wakanda Forever’ official trailer out,"The long-awaited Marvel film 'Black Panther: Wakanda Forever' finally got its first official trailer on Monday, and it provides a more detailed look at the mysterious new Black Panther.The nearly 2-minute-long trailer provides the audience a closer look at a new underwater nation ruled by Namor, who, like in the Marvel comics, can fly with his winged feet. Moreover, there is a brief glimpse of actress Dominique Thorne in the new Iron Man-style armor, implying that Iron Heart will play a significant role in this film.The trailer concludes with a shot of the new Black Panther suit, which does not reveal who is wearing it, but it could be Shuri, Nakia, or even Okoye.'Black Panther: Wakanda Forever' is the sequel to director Ryan Coogler's 2018 film, 'Black Panther'. The latter became a cult classic and earned an Oscar nomination for best picture.He wrote the sequel for the 'Black Panter' protagonist, Chadwick Boseman, but the actor passed away of colon cancer in 2020. So, the filmmaker set about figuring out how to keep moving forward while paying tribute to Boseman's legacy.Marvel Studios president, Kevin Feige, revealed at this year's Comic-Con that 'Wakanda Forever' will mark the end of Phase Four of the Marvel Cinematic Universe.'Wakanda Forever' star cast includes Lupita Nyong'o, Letitia Wright, and Winston Duke, as well as Marvel newcomer Tenoch Huerta as Namor.Riri Williams, the teenage genius who becomes the hero Iron Heart, will be introduced in the film.'Wakanda Forever' will be released in English, Hindi, Tamil, and Telugu on November 11, 2022."
/star-multimedia/news-multimedia/news/prof-sirajul-islam-lighthouse-history-bangladesh-3135501,Prof Sirajul Islam: Lighthouse of history of Bangladesh,"Famous historian and former teacher at Dhaka University, Professor Sirajul Islam, is the lighthouse of history of Bangladesh.He initiated and edited three volumes of History of Bengal and Banglapedia. These books are regarded as the authentic source of information for any study or research.Today, The Daily Star talks with him about his life and work in Star Insights"
