URLS,Headline,Article
/business/news/aspiration-without-values-can-cause-rent-seeking-hooliganism-3144321,"‘Aspiration without values can cause rent-seeking, hooliganism’","Aspiration can lead people to development, but this can also encourage them to go for rent-seeking and hooliganism if the aspiration is not associated with values, eminent economist Professor Wahiduddin Mahmud said today.""So, aspiration should be associated with values. If these two can be coordinated, the momentum of the development accelerates.""He was speaking at a seminar titled ""Aspirational Momentum: The Development Story of Bangladesh"", organised by the Bangladesh Institute of Development Studies (BIDS) at the Lakeshore Hotel in Dhaka.Infant mortality has reduced in Bangladesh faster than other countries, he said.The use of oral saline for diarrhoea, use of vaccines, reduction of women fertility rates due to their involvement in job sectors played a vital role in reducing infant mortality, he added.He said there has been a big shift in investing in children now rather than the number of children.People are now more cautious about the quality of education and healthcare children are getting, not about the number of children. "
/business/news/bangladesh-right-place-burnei-invest-tipu-munshi-3144101,Bangladesh a right place for Brunei to invest: Tipu Munshi,"Commerce Minister Tipu Munshi today (October 16, 2022) urged energy-rich Brunei to invest in Bangladesh taking advantage of the facilities that the country offers for the foreign investors.""Bangladesh can be the right place for investment. My request will be to invest in Bangladesh,"" he said while speaking as the chief guest at a business meeting with Brunei's Finance Minister Dr Awang Haji Mohd Amin Abdullah in a hotel in the capital.The Commerce Minister mentioned countries like India and China where Bangladesh has the opportunity to export whatever it wants apart from its own market of 170 million people.State Minister for Foreign Affairs Md Shahriar Alam also spoke at the meeting chaired by President of the Federation of Bangladesh Chambers of Commerce and Industry (FBCCI) Md Jashim Uddin.Issues related to trade and investment, recruitment of skilled workers from Bangladesh and using port facilities were discussed in the meeting.Minister Dr Amin said the two countries have the opportunity to work together on trade and investment fronts and explore opportunities to create a regional hub in terms of transportation. ""We are expanding our seaports at the moment.""A memorandum of understanding (MoU) on Brunei Halal Foods in Bangladesh was also signed at the meeting.State Minister Alam highlighted the contributions of Bangladeshis, especially that of the construction workers.The Sultan also admired the Bangladeshi expatriate workers in Brunei as hard working and sincere.Earlier on Saturday evening, the State Minister conveyed to Sultan of Brunei Haji Hassanal Bolkiah that Bangladesh was ready for attracting FDI and encouraged Bruneian investment in Bangladesh."
/supplements/bangladesh-cable-industry-outlook/news/walk-the-talk-3144016,Walk the talk,"Engineer Abu Noman Howlader Chairman, BBS Cables LtdWith remarkable development in transmission and distribution infrastructure, Bangladesh has made considerable progress in the previous 13 years in providing power to the entire country.Our industry has so far benefited from current government policies. At the moment, we are primarily concerned with meeting domestic demand. We want to export our products even though the global market is extremely competitive, primarily because of Chinese and Indian companies. I would urge the government to support manufacturers who wish to export cables by rebating taxes by at least 10 percent. If the government approves it for five years, I believe we can build a robust sector during this time.Since its inception, BBS cables has been committed to maintaining its products to international standards. The fact that our cables are currently being utilised in the Karnaphuli Tunnel in Chattogram is proof of our commitment to quality.A.K.M. Ahasanul Haque Chief Operating Officer,
Partex Cables Ltd
The cable industry in Bangladesh grows by 10 to 15 percent annually. As power generation has increased 10 times, the cable industry has expanded. 
Now that underground cable networks must be built in our cities, where open spaces are quite scarce, the potential use of high-quality cables is clear.
We ensured our products were of the best quality when Partex Cables Ltd started commercial production in 2017. As a result, every year, we increase our share by 4 percent on average, and this year we anticipate an 8 percent increase.



We hope the government will set policies that will encourage us to export our goods and expand. We import raw materials from abroad by paying huge tax. So, if the government could come through with a temporary tax rebate, our cable industry would receive a significant boost.
 








Mahboob Hossain Mirdah Director & CEO, RR-Imperial Electricals Ltd
The widespread power distribution is not possible without a thriving local cable industry. The cable business is now worth over Tk 10,000–12,000 crore, up from Tk 6,000 crore in 2017.
Our raw material costs have nearly doubled.  Therefore, to develop this industry, I would appeal to the government for zero duty or a reduction of the duty fee in the case of importing raw materials.
Additionally, we want support to put an end to substandard and fake cables because they have the potential to cause devastating incidents. We should prioritise purchasing skin-coated cables and flame-retardant(FR) Cables.
RR Imperial Electricals LTD has introduced for the first time in Bangladesh FR and skin-coated technology since 2012. I want the government to mandate FR and skin-coated technology for all electrical cables. We can save lives and preserve the nation's resources by doing this only.
 








Rakib Ahmed Head of Marketing, 
Bizli Cables
As the government has declared 100 percent electrification all over the country, cable industries have the scope to grow exponentially. Many big investors and companies are investing in this industry to meet national requirements. Currently, most of the cable required in Bangladesh is produced and marketed by local manufacturers, except for some specialised cables and extra-high-voltage cables. Within a short time, Bangladeshi manufacturers can also provide these cables.
This industry has much scope, but the raw material price fluctuation makes it challenging to increase profitability. Therefore, the government should give a level playing field by providing the same facility in duty and tax on imported materials and machines. We also need cash incentives on exports so that Bangladeshi manufacturers can export products.
 
The cable industry in Bangladesh grows by 10 to 15 percent annually. As power generation has increased 10 times, the cable industry has expanded. Now that underground cable networks must be built in our cities, where open spaces are quite scarce, the potential use of high-quality cables is clear.We ensured our products were of the best quality when Partex Cables Ltd started commercial production in 2017. As a result, every year, we increase our share by 4 percent on average, and this year we anticipate an 8 percent increase.We hope the government will set policies that will encourage us to export our goods and expand. We import raw materials from abroad by paying huge tax. So, if the government could come through with a temporary tax rebate, our cable industry would receive a significant boost.Mahboob Hossain Mirdah Director & CEO, RR-Imperial Electricals Ltd
The widespread power distribution is not possible without a thriving local cable industry. The cable business is now worth over Tk 10,000–12,000 crore, up from Tk 6,000 crore in 2017.
Our raw material costs have nearly doubled.  Therefore, to develop this industry, I would appeal to the government for zero duty or a reduction of the duty fee in the case of importing raw materials.
Additionally, we want support to put an end to substandard and fake cables because they have the potential to cause devastating incidents. We should prioritise purchasing skin-coated cables and flame-retardant(FR) Cables.
RR Imperial Electricals LTD has introduced for the first time in Bangladesh FR and skin-coated technology since 2012. I want the government to mandate FR and skin-coated technology for all electrical cables. We can save lives and preserve the nation's resources by doing this only.
 








Rakib Ahmed Head of Marketing, 
Bizli Cables
As the government has declared 100 percent electrification all over the country, cable industries have the scope to grow exponentially. Many big investors and companies are investing in this industry to meet national requirements. Currently, most of the cable required in Bangladesh is produced and marketed by local manufacturers, except for some specialised cables and extra-high-voltage cables. Within a short time, Bangladeshi manufacturers can also provide these cables.
This industry has much scope, but the raw material price fluctuation makes it challenging to increase profitability. Therefore, the government should give a level playing field by providing the same facility in duty and tax on imported materials and machines. We also need cash incentives on exports so that Bangladeshi manufacturers can export products.
 
The widespread power distribution is not possible without a thriving local cable industry. The cable business is now worth over Tk 10,000–12,000 crore, up from Tk 6,000 crore in 2017.Our raw material costs have nearly doubled.  Therefore, to develop this industry, I would appeal to the government for zero duty or a reduction of the duty fee in the case of importing raw materials.Additionally, we want support to put an end to substandard and fake cables because they have the potential to cause devastating incidents. We should prioritise purchasing skin-coated cables and flame-retardant(FR) Cables.RR Imperial Electricals LTD has introduced for the first time in Bangladesh FR and skin-coated technology since 2012. I want the government to mandate FR and skin-coated technology for all electrical cables. We can save lives and preserve the nation's resources by doing this only.Rakib Ahmed Head of Marketing, 
Bizli Cables
As the government has declared 100 percent electrification all over the country, cable industries have the scope to grow exponentially. Many big investors and companies are investing in this industry to meet national requirements. Currently, most of the cable required in Bangladesh is produced and marketed by local manufacturers, except for some specialised cables and extra-high-voltage cables. Within a short time, Bangladeshi manufacturers can also provide these cables.
This industry has much scope, but the raw material price fluctuation makes it challenging to increase profitability. Therefore, the government should give a level playing field by providing the same facility in duty and tax on imported materials and machines. We also need cash incentives on exports so that Bangladeshi manufacturers can export products.
 
As the government has declared 100 percent electrification all over the country, cable industries have the scope to grow exponentially. Many big investors and companies are investing in this industry to meet national requirements. Currently, most of the cable required in Bangladesh is produced and marketed by local manufacturers, except for some specialised cables and extra-high-voltage cables. Within a short time, Bangladeshi manufacturers can also provide these cables.This industry has much scope, but the raw material price fluctuation makes it challenging to increase profitability. Therefore, the government should give a level playing field by providing the same facility in duty and tax on imported materials and machines. We also need cash incentives on exports so that Bangladeshi manufacturers can export products. "
/news/bangladesh/news/pocketing-tk-21-lakh-charges-pressed-against-evaly-chairman-ceo-3143711,"Pocketing Tk 21 lakh: Charges pressed against Evaly chairman, CEO","Two top bosses of the e-commerce platform Evaly pocketed Tk 21.62 lakh through digital forgery, a police probe in a Digital Security Act case has found.Sub-inspector Pradip Kumar Das of Criminal Investigation Department submitted the charge sheet in the case to the Chief Metropolitan Magistrate Court of Dhaka on September 19.According to the charge sheet, Evaly Chief Executive Officer Mohammad Rassel and his wife Shamima Nasrin, the chairman, enticed customers to sell its products by publishing false information on social media platforms.Mohammad Alamgir Hossain, a customer from Madhya Badda in the capital, on September 30 last year filed the case with Badda Police Station against the couple and 15-20 unnamed officials of Evaly.The charge sheet said the complainant paid Tk 28.79 lakh to Evaly through bKash, Nagad, LankaBangla Finance credit card, City Bank Amex credit card and Brac Bank Visa Card for its goods from January 1, 2020 to September 1, 2021.The investigator during the investigation did not find any illegal e-transaction, the probe report added.The Daily Star has obtained a copy of the charge sheet.Speaking to this newspaper, complainant Alamgir yesterday said, ""I have no interest in running the case as I have already been almost fully compensated by Evaly.""Rab arrested Rassel and Shamima from their flat in the capital's Mohammadpur on September 16 last year after a customer filed a case with Gulshan Police Station over embezzlement.Later, the couple was shown arrested in several cases filed against them with different police stations over embezzling customer's money.Police last month pressed charges against the couple in two embezzlement cases filed with Dhanmondi Police Station by two customers.Rassel is now behind bars, while Shamima is out on bail."
/news/bangladesh/diplomacy/news/brunei-sultan-arrives-first-ever-visit-3143661,Recruit more manpower,"President Abdul Hamid yesterday called upon the Brunei government to recruit more manpower from Bangladesh for the greater interest of the two friendly countries.The president came up with the call when visiting Brunei Darussalam Sultan Haji Hassanal Bolkiah Mu'izzaddin Waddaulah paid a courtesy call on him at the Bangabhaban yesterday evening.Noting that there was an investment-friendly environment in Bangladesh, President Hamid also urged the business community of Brunei to come forward and invest.Welcoming the Brunei Sultan, President Hamid said Sultan's first visit to Bangladesh would usher in a new chapter of bilateral ties between the two brotherly countries, reports BSS.Brunei Sultan arrived on a two-day state visit to Bangladesh yesterday.The red carpet was rolled out to welcome the Sultan and over 40 members of his entourage, including his family members, ministers, and officials, reports our diplomatic correspondent.They landed at Hazrat Shahjalal International Airport around 2:30pm.He was given 21-gun salutes as he disembarked from the aircraft. Bangladesh President Abdul Hamid welcomed him with a bouquet.A combined contingent of Bangladesh army, navy and air force presented him with a guard of honour while Sultan and President Hamid stood on a dais.National anthems of the countries were also played at that time.Foreign Minister AK Abdul Momen, Road Transport and Bridges Minister Obaidul Quader, Home Minister Asaduzzaman Khan, Commerce Minister Tipu Munshi, and State Minister for Foreign Affairs Shahriar Alam were present.Besides, chiefs of the three services, principal secretary to the prime minister, foreign secretary, inspector general of police, secretaries concerned to the Bangabhaban, and senior civil and military officers were also present.Sultan is making his first-ever visit to Bangladesh at the invitation of President Abdul Hamid and Prime Minister Sheikh Hasina, reciprocating PM Hasina's visit to Brunei in April 2019.The Sultan was escorted to the National Martyrs' Memorial in Savar in a motorcade from the airport. He placed a wreath at the memorial in memory of Bangladesh's 1971 Liberation War martyrs, planted a sapling and signed the visitors' book.The Sultan, who is scheduled to stay at Hotel InterContinental in Dhaka, will place a wreath at the Bangabandhu Memorial Museum on Dhanmondi-32 and visit the museum at 2:45pm today.He will then go to the Prime Minister's Office, hold a tete-e-tete with Hasina and then lead a delegation-level talk with her before signing several MoUs. He is scheduled to fly back to Brunei at 6:00pm today.The two countries are scheduled to sign at least four MoUs on importing fuel from Brunei, introducing direct flights between the two countries, labour recruitment and mutual recognition of mariners' certificates.Around 20,000 Bangladeshis currently work in Brunei. Officials said Brunei was eager to recruit workers through Bangladesh Overseas Employment Services Limited (BOESL) to streamline the recruitment process. Direct flights will drastically reduce the cost of labour migration.Brunei is also eager to source halal food from Bangladesh, especially the Black Bengal goat, which is preferred by the Sultan. Brunei also wants Bangladesh to provide expertise to it in fisheries and agriculture industries.Bangladesh considers Brunei an important country that, as an ASEAN member, can use its leverage in addressing the Rohingya crisis, facilitate Bangladesh's pursuit of becoming an ASEAN Dialogue Partner and become a potential market for Bangladeshi products, as well as human resources."
/supplements/world-food-day-2022/news/all-things-food-3143581,All things food,"They say you are what you eat. They are right! Not only does food have the power to elevate your mood or make your day, but also provides the fuel that keeps you going. Be it about ensuring nutrition for all or the pursuit of making healthier culinary choices, food presents dilemmas, options, and challenges for us all in our daily lives.Today is World Food Day. And hence, on this special edition of Star Lifestyle, we take some of these matters in hand.Worried about your child's nutrition? Or even yours? Be it smart grocery shopping tricks that will help you control unhealthy eating, the importance of organic food, or perhaps, various choices of healthy diets — look no further, we got you covered.Furthermore, an ethical consumer does not forget that the food on our plate has made a long journey, one that involves many processes, people, and of course, the environment. Hence, we look at a couple of inspiring stories where food production and delivery are undertaken, keeping in mind issues such as carbon footprint, plastic usage, eco-friendliness, sustainability, etc.Meanwhile, food choices are also very personal. Whether you are among those who are concerned about sugar consumption, or among those who are looking for a good quality snack to indulge in, read on as we spoil you with options you may want to consider.It's really about choosing — and that's what we aim to help you with today when it comes to food. So, flip through the pages of this special issue of Star Lifestyle.Happy eating! "
/news/bangladesh/news/brt-project-disarray-due-flawed-planning-quader-3144176,BRT girder tragedy: Company won’t get to work in Bangladesh after project completion,"The Chinese company which was found responsible for the accident at Bus Rapid Transit (BRT) Line-3 project will not be allowed to work in Bangladesh anymore after the completion of this project.Road Transport and Bridges Minister Obaidul Quader said this following a query at a press conference at his secretariat office today (October 16, 2022).When the incident took place on August 15, 79 percent work of the project was already completed, the minister said.In this given situation, it was decided that the contractor will complete the rest of the project works, he added.""The decision was taken considering the asset and money of the country in mind because it would take several years if any new contractor is appointed for the work,"" said the minister.""They [the Chinese contractor will complete the remaining 20 percent work. After that the contractor will not be allowed to work in Bangladesh anymore,"" he said.Five people, including two children, were crushed to death when a crane toppled over, making a segment of a viaduct fall on their car on the Dhaka-Mymensingh highway in the capital's Uttara.A probe committee led by Neelima Akhter, additional secretary of the Road Transport and Highway Division held the Chinese contractor, China Gezhouba Group Co Ltd, responsible for the negligence that caused the deaths.However, they did not recommend any punitive action but revealed the findings of the probe on September 4 saying the Roads and Highways Department (RHD), the implementing authority of the project, will take action in line with the probe body's findings.The project work resumed after around one month of the tragedy."
/news/bangladesh/news/sharif-laid-rest-sirajganj-state-honour-3143721,Sharif laid to rest in Sirajganj with state honour,"Sharif Hossain, a member of the UN peace-keeping mission, was buried with state honour at his ancestral village in Sirajganj yesterday.Earlier, a team of Bangladesh Army carried his body to his house at Berakharua village in Belkuchi upazila of the district around noon, said Upazila Nirbahi Officer Md Anisur Rahman.Belkuchi municipality mayor Sazzadul Haque Reza said Sharif's father Lebu Talukder received his body.He was buried at Berkharua graveyard with the state honour by Bangladesh Army in the afternoon, said the upazila nirbahi officer.Sharif along with two other peacekeepers from Bangladesh Army was killed in an explosion in the Central African Republic on October 3."
/entertainment/tv-film/news/harry-potter-family-pays-tribute-their-beloved-hagrid-3144006, ‘Harry Potter’ family pays tribute to their beloved ‘Hagrid’,"The actor Robbie Coltrane, who played Harry Potter's most beloved character 'Hagrid' passes away at the age of 72 on October 14. The Harry Potter family paid tribute to Robbie Coltrane on social media. A post shared by Daniel Radcliffe (@daniel9340)
The protagonist of 'Harry Potter' franchise, Daniel Radcliffe, wrote a heartfelt note and paid tribute to his 'Hagrid' with a few adorable pictures of them. He also shared a reel completely dedicated to Robbie Coltrane.Actress Emma Watson, who played the role of 'Hermione Granger' poured her heart out at the loss of Robbie Coltrane on her Instagram story. A post shared by Tom Felton (@t22felton)
Actor Tom Felton shared her fondest memory from the shooting of 'Harry Potter' with Robbie Coltrane and shared an adorable picture with the cast."
/news/bangladesh/news/crops-washed-away-overnight-3143766,‘Crops washed away overnight’,"Farmer Shahidul Islam of Kukadair village of Gobindasi union of Bhuanpur upazila has cultivated different crops on his 12 bighas of land, after taking loan from local money launderers.However,  the crops got washed away in a single night after water level rose in Jamuna river.""What will I do now? How can I repay my loan?"" said a devastated Shahidul.Crops, including peanut, kalai, maize and paddies of many farmers of the Jamuna Char areas got submerged under water recently.Farmers Hurmuz Pramanik, Raheez Uddin and Sabur Ali said water on the river had increased six times this year, washing away their crops.Sazzad Hossain, executive engineer of Water Development Board (WDB) in Tangail, said the water level had increased by 22cm yesterday. However, it was flowing 62cm below the danger level.""This untimely increase of water level was caused by a rush of water from upstream and due to the impact of climate change,"" he added.During a recent visit at char areas including Govindasi, Gabsara and Arjuna unions, it was seen arable lands were submerged  in water, incurring losses to the farmers.The field level agriculture officials were visiting the affected areas to assess the damages. We hope that the situation won't prevail for a long time. We'll provide incentives to the affected farmers.Dr Md Humayun Kabir Upazila Agriculture Officer in Bhuapur 
Contacted, Dr Md Humayun Kabir, upazila agriculture officer in Bhuapur, told The Daily Star that the damages were limited as the farmers did not start cultivation in full swing.
The field level agriculture department officials were visiting the affected areas to assess  the damages, he said. ""We hope that the situation won't prevail for a long time. We'll provide incentives to the affected farmers,"" he added.
The field level agriculture officials were visiting the affected areas to assess the damages. We hope that the situation won't prevail for a long time. We'll provide incentives to the affected farmers.Contacted, Dr Md Humayun Kabir, upazila agriculture officer in Bhuapur, told The Daily Star that the damages were limited as the farmers did not start cultivation in full swing.The field level agriculture department officials were visiting the affected areas to assess  the damages, he said. ""We hope that the situation won't prevail for a long time. We'll provide incentives to the affected farmers,"" he added."
