URLS,Headline,Article
/nrb/news/bangladeshi-expat-found-dead-malaysia-11-days-after-abduction-3137411,Bangladeshi expat found dead  in Malaysia 11 days after abduction,"The decomposed body of Sohel Mia, a Bangladeshi expatriate in Malaysia, was recovered yesterday 11 days after his abduction.Sohel's body was found from the forest behind a factory on Road Number 10 of Taming Jaya Industry Park, Selangor state, 30 km from the capital Kuala Lumpur yesterday (October 6, 2022).Bangladesh High Commission in Malaysia and expatriate relatives of Sohel confirmed the development.Sohel (39), son of late Ahmed Miah of South Dhalapara village in Ghatail upazila of Tangail, had been living in Malaysia for 15 years. He used to work in a factory in Malaysia.""The body was partially decomposed and the victim's hands and face were tied with tape,"" said Mohammad Zaid Hasan, assistant commissioner of Kajang's OCPD.Sohel's body was recovered based on confessional statements given by four expatriate Bangladeshis, who were arrested in connection with the abduction, he said.Kajang police launched the operation after a complaint was lodged by Sohel's maternal uncle Mizan.Mizan identified Sohel after the body was brought to Sardang Hospital this (October 7, 2022) morning. The body has been kept at the hospital for autopsy.Around 9pm (local time) on September 25, Sohel Mia was abducted from his home in Tamiljaya area of Kuala Lumpur. On September 27, his family sent Tk 500,000 to the abductors as ransom through a bank branch in Barishal, Bangladesh, as the abductors ""threatened to kill"" him.Sohel's family filed two cases in Malaysia and one in Bangladesh as he was not released.According to Kajang police, two Bangladeshis were arrested from Beranong area on October 5 and two more from Semenihe area the next day on suspicion of involvement in the incident.The names of Mamun Shikder and Alamgir have been revealed, but the police did not reveal the names of the remaining two for the sake of investigation.On October 4, Rapid action battalion arrested a man named Nasir Uddin (38) from Barguna with ransom money after a kidnapping case was filed by Sohel's relative Billal Hossain with Ghatail Police Station in Tangail. On October 5, a Tangail court court sent Nasir to jail.Bangladesh High Commissioner to Malaysia Md Golam Sarwar expressed regret over the incident and said arrangements will be made to bring all involved in the abduction and murder of Sohel Mia, to book. ."
/news/bangladesh/crime-justice/news/no-trace-man-taken-away-14-days-ago-3137006,No trace of man taken away 14 days ago,"Nurul Afsar Hawladar, a 40-year-old marketing official at a real estate company, was picked up from Uttara by men claiming to be from Rab on September 22.He was neither handed over to the court, nor has his family found any trace of him in two weeks now.The footages from four close-circuit cameras placed in the garage of Nurul's office show how he was taken away by a group of around 10 men in plain clothes.Khairul Khan, deputy managing director of the company, confirmed that the footages were indeed from the office CCTVs.One of the men in the footages was older, with salt-pepper hair and beard, wearing a muck-green shirt.Khairul said that man visited his office posing as a client enquiring about flats.""He did not give a name and only told us that he was interested in real estate in Mirpur. We were talking in my office, when he noticed Nurul and asked if he is 'Nurul Afsar',"" he described.""When Nurul answered in the affirmative, the man said he was actually from the law enforcement agency and that there was a case against Nurul in Banshkhali and he was here to detain him.""The man did not show any identification, but soon another man wearing a black polo shirt and an ID card, with 'Rab' written on it, sashayed into my office.""In one CCTV footage, the man can be seen entering the office and walking up the stairs at 2:48pm.It further shows that he has a short beard and slightly long hair, and wore black pants. Another man in a grey polo shirt kept guard under the staircase while others climbed up the stairs.The man walking up the stairs was accompanied by another in a grey polo shirt.According to the footage, they were preceded by three more men wearing grey, blue and black chequered shirts.Footage from another camera, which was facing the gate, shows six men entering the compound around 2:47pm.Nurul was brought out of the office at 2:55pm, flanked by men in grey polos. The man in the black shirt followed.There was also another bearded man in a black polo shirt and light blue jeans in the footage.As Nurul was taken away, footage from 2:56pm shows the older man, who initially identified himself as a client, walking out with Khairul, and another staffer of the real estate office called Tareq.The man shook Khairul's and Tareq's hands, and bid them farewell before the group left in a grey microbus and a black Pajero.  ""When leaving, he [the man in black] said 'we have been saved from a big misfortune',"" said Khairul.""We asked where Nurul was being taken. We were in turn asked to ask questions at court in a day.""Since then, there has been no trace of Nurul.Around 8:00pm that day, another team claiming to be from Rab-1, visited the office.This time they went to collect all the footages and corresponding devices.""They showed ID cards but did not give us enough time to read the names. [I saw] One card had 'Rab' written on it. They took away our entire security system, saying we would get it back. We have not yet,"" said Khairul.Lablu, nephew of Nurul, said his uncle had spent seven years in Malaysia before returning to Bangladesh around one and a half years ago.""His father, who is my grandfather, had developed Leukaemia. His mother had died when he was abroad, so he did not want to take a risk this time [and came back to the country].""Nurul's family lives in Satkhira's Ashashuni and he is unmarried.The family said they visited the Turag Police Station on September 26 to file a case, but was told by the duty officer that they could not do so because he was picked up by men identifying themselves as law enforcers.""The duty officers said Nurul must have been taken for some investigation and will be returned once that is done.""Khandaker Al Moin, media wing director of Rab, said that no one by the name of Nurul Afsar was taken into custody to his knowledge.Nurul's brother Abul Kashem Hawladar, in a statement to journalists in Satkhira, said, ""If he [Nurul] has committed any crime, arrest him according to the law. Do not force him into disappearance.""In a similar incident, one Dilwar Hossain was picked up from Bosila on September 19 and shown arrested on September 27. He was then charged with terrorism."
/news/bangladesh/crime-justice/news/3-suspected-arms-dealers-held-firearms-bomb-making-materials-rajshahi-3137436,"3 suspected arms dealers held with firearms, bomb-making materials in Rajshahi","Rapid Action Battalion (Rab) arrested three alleged arms dealers with gun powder, bomb making materials, and seven firearms in Rajshahi city today (October 7, 2022).The arrestees are Md Atiqur Rahman (35), and his associates -- Md Shahin Ali (25), and Md Shahidul (26), from different areas in Rajshahi city, our Rajshahi staff correspondent reports quoting Rab.The seized items include 1.10kg gun powder, bomb-making splinters, four foreign revolvers, three pistols, magazines, and bullets.Acting on a tip-off, Rab-5 Commander Lt Col Riaz Shahriar said, a Rab team raided Atiq's house in Kapasia Paharpur area under Katakhali Police Station and arrested the trio.Atiq hid the materials under a black cloth near his poultry farm, he said.During Rab interrogation, the arrestees revealed the names of two persons who provided them the arms and ammo.A Rab investigation revealed that some anti-liberation elements have become active ahead of upcoming national elections, the Rab-5 commander said.He also said the arrestees had also plans to carry out sabotage in different parts of the country, including Rajshahi."
/entertainment/tv-film/news/abhishek-storms-out-comedy-show-after-amitabh-bachchan-joke-3137371,Abhishek storms out of comedy show after Amitabh Bachchan joke ,"During the recent episode of the weekly comedy show, ""Case Toh Banta Hai"", the typically calm and composed Abhishek Bachchan, lost his patience after hearing a joke about his father— Amitabh Bachchan. Abhishek left the show in the middle of the shooting, after raising objections about a joke on Amitabh, which was performed by comedian Paritosh Tripathi.After Paritosh's joke, Abhishek told the shooting team, ""It's getting a bit too much. I'm okay with jokes about myself. But let's not get our parents involved in this. I am a bit sensitive about my dad.""  A post shared by Manav Manglani (@manav.manglani)
""Case Toh Banta Hai"" is a courtroom comedy series on Amazon miniTV, starring Bollywood actor Riteish Deshmukh as the public attorney, while Varun Sharma is the defence attorney for Bollywood superstars facing bizarre accusations. "
/entertainment/tv-film/news/puja-chery-promoting-hridita-cineplex-3137326,Puja Chery promoting 'Hridita' at Cineplex,"Today marks the theatrical release of Puja Chery starrer, ""Hridita"". The government-granted film has been in the works for quite some time now, but finally got to see the light of day.To celebrate the occasion, Puja Chery, along with the rest of the movie's team, decided to visit some of the theatres around town, in order to promote the movie.The starlet shared photos of her visiting theatres along with team ""Hridita"" on her official Facebook page.""Today I, along with team Hridita will watch the film 'Hridita' with you,"" read the caption of the post. The actress also included the showtimes for ""Hridita"".Showtimes:4:50 pm (Star Cineplex-Sony Square)5:45 pm (Chitra Mahal)6:20 pm (Madhumita)7:15 pm (Star Cineplex-Bashundhara City)She concluded the post saying ""Look forward to seeing all of you!""""Hridita"" has been directed by Ispahani Arif Jahan, and is an adaptation of the novel of the same name by Anisul Hoque. The government-granted film received BDT 55 lakh in grants for the fiscal year of 2019-2020. In the movie, Chery can be seen opposite ABM Sumon. "
/sports/cricket/news/rested-shakib-getting-gear-ahead-nz-game-3137356,‘Rested’ Shakib getting into gear ahead of NZ game,"Bangladesh T20I skipper Shakib Al Hasan was rested by the team management for the opening match of the tri-nation series against Pakistan, BCB officials have informed.The BCB had previously cited in a press release that the all-rounder's flight had been delayed due to technicalities related to transit visa. Shakib was set to reach Christchurch on October 2 via Tahiti from Los Angeles but as the media release stated, he 'could not board the flight from Los Angeles International Airport on 02 October after complicacies with the visa procedure arose'. Thus Shakib had to board a flight on October 4, delaying him for two days.'The designated airlines resolved the issue and rebooked him on the next available flight leaving from LA on 04 October which he has taken to reach New Zealand,' the BCB press release on Wednesday had added.Mehedi Hasan Miraz yesterday said that 'Shakib bhai joined us today and it's a big advantage for us' during a video message to the media. It appeared the all-rounder was available for the game today but although he reached New Zealand at 1:30 PM yesterday (Christchurch time), the team management decided to rest Shakib.""Shakib was rested by the team management. He practiced today and he will participate in practice tomorrow as well,"" team manager Rabeed Imam told The Daily Star today.It was a surprise when Nurul Hasan Sohan came out to the toss today with Babar Azam which indicated that Shakib was not in the playing eleven. Although Shakib reached Christchurch with considerable time in hand, the hectic nature of his journey saw the management rest him for the opening match which Bangladesh lost by 21 runs.Although Bangladesh have a optional practice session tomorrow, Shakib will be looking to get on with being match fit ahead of the fixture against New Zealand on October 9. "
/entertainment/tv-film/news/my-daughter-will-be-named-farishta-mahiya-mahi-3137401,'My daughter will be named Farishta': Mahiya Mahi,"Today, Mahiya Mahi starrer ""Jao Pakhi Bolo Tare"" hit theatres countrywide. The actress has taken a break from doing new projects, due to her pregnancy. However, she actively participated in the film's promotional campaign. Today, the actress shared that if the soon to be born baby will be a girl, she wishes to name her Farishta.""Jao Pakhi Bolo Tarey"" has been released in 21 theatres. The ""Morichika"" actress informed that she is going to attend an event in the Water Kingdom today. Mahi will watch the film tomorrow. However, she has been receiving phone calls and messages on social media with positive responses for the film. According to Mahi, she is living the best and happiest phase of her life, and eagerly waiting for the child to arrive. The actress was asked if she wants a girl or boy, and she responded that she knows it will be a girl, she hasn't decided on the name for a boy.Mahi also asked for prayers for her child, from her fans and wellwishers. "
/news/bangladesh/accidents-fires/news/4-including-cop-dead-bus-crashes-tree-gopalganj-3137361,4 including cop dead as bus crashes into tree in Gopalganj,"Four people, including a policeman, died and 15 others were injured when a passenger bus crashed into a tree on the Dhaka-Khulna highway in Chandra Dighalia upazila of Gopalganj early this morning (October 7, 2022).The deceased cop was identified as Barishal Metropolitan Police member Abdul Alim, while the identities of the other victims are yet be known, said Nasir Uddin, officer-in-charge of Gopalganj Sadar Police Station.Alim was deployed to ensure security during the visit of the President and the Prime Minister to Gopalganj today, he said.The accident occurred around 6am when the driver of the Mongla-bound bus of Didar Paribahan lost control of the vehicle and crashed into the roadside tree, leaving four people dead on the spot, said the OC.Monirul Islam, one of the passengers hailing from Khulna, claimed that the accident occurred due to reckless driving.OC Nasir said that of the injured passengers, 10 were admitted to Gopalganj General Hospital while others received primary aid.Of the injured, two people were transferred to Khulna General Hospital as their condition was serious, said Md Faruq Ahmed, resident medical officer of the hospital."
/news/bangladesh/diplomacy/news/dhaka-seeks-proactive-role-asean-resolving-rohingya-crisis-3137331,Dhaka seeks proactive role of ASEAN in resolving Rohingya crisis,"Foreign Minister AK Abdul Momen has said Bangladesh wants to intensify political, trade, economic and cultural connectivity with the Association of South East Asian Nations, or ASEAN, and seeks its support for early repatriation of the Rohingyas to Myanmar.Myanmar is a member of ASEAN, although its leadership was frozen out of the bloc's most recent summit following the return of a military junta to power in the country.""Bangladesh shares common agenda with ASEAN countries for sustainable economic prosperity in our region, where peace, security and stability will prevail,"" he said.Momen was speaking as the chief guest at a reception hosted by the Royal Thai Embassy on last night (October 6, 2022), to celebrate the Golden Jubilee of diplomatic ties between the two countries.Thai Ambassador to Bangladesh Makawadee Sumitmor also spoke.Momen sought Thailand's support for Bangladesh's bid to become ASEAN Sectoral Dialogue Partner, preferably by this year.Bangladesh has been sheltering 1.2 million Myanmar nationals who were subjected to forcible displacement for the last five years on humanitarian considerations, the Foreign Minister said.He said the heavy burden of sheltering such a huge number of displaced people (the Rohingya) has become acutely unsustainable for Bangladesh. Turning to the bilateral relationship, Momen noted that the high-level visits of Prime Minister Sheikh Hasina to Thailand in 2013 and the visits to Bangladesh of Princess Maha Chakri Sirindhom in 2011 and 2018 made significant contributions toward further cementing the friendship between the two nations.""We look forward to maintaining the momentum in our bilateral relations through more such high-level engagements in the coming days,"" Momen said.He urged the private sectors to create stronger synergies in order to tap into the unutilized potentials for the mutual benefit of our two robust economies.Since establishment of diplomatic ties, the bilateral relations between Bangladesh and Thailand have flourished steadily.""The solid foundations of our bilateral relations today have truly paved the way for our centenary celebrations and beyond in future,"" Momen said.He prayed for the continued peace, progress and prosperity of the friendly peoples of Bangladesh and Thailand.The foreign minister said Bangladesh-Thailand relations are rooted in strong civilizational, cultural, linguistic and spiritual bonds.The two countries have extensive people-to-people contacts as people travel often for tourism, medical treatment, business and education purposes.""As a close neighbour and BIMSTEC partner, Bangladesh attaches special importance to her relations with Thailand,"" Momen said.He also said Bangladesh considers Thailand an inspiration for socioeconomic development.""We look forward to Thailand's continued cooperation and collaboration for our transformation to a knowledge-based developed economy under Vision- 2041,"" Momen said.He added, ""Both of our countries have significant potentials to evolve as facilitators of greater connectivity between South Asia and South East Asia.""Diplomats stationed in Dhaka, political leaders, business leaders, journalists, civil society members were present."
/sports/cricket/news/tigers-begin-bangla-wash-t20i-tri-nation-series-defeat-3137311,Tigers begin ‘Bangla Wash T20I Tri-nation Series’ with defeat,"Bangladesh's fragile batting lineup was once again exposed as the Tigers failed to chase a challenging total, suffering a 21-run defeat against Pakistan in the 'Bangla Wash T20I Tri-nation Series' opener at the Hagley Oval in Christchurch on Friday. A 50-run third-wicket stand between Liton Das and Afif Hossain and some lusty blows at the death from Yasir Ali were the highlights in batting for the Tigers. Despite Yasir's unbeaten 21-ball 42, Bangladesh were restricted to 146 for eight while in chase of a challenging 168-run target.   Chasing a challenging total, the Tigers lost both their openers Mehedi Hasan Miraz and Sabbir Rahman inside the Powerplay. The makeshift opening duo could amount to just 25 runs. Miraz was the first one to fall, holing out to the fielder at deep square leg off a Mohammad Wasim delivery in the fifth over. Sabbir followed suit, departing in the very next over to leave the Tigers at a precarious 37 for two after 5.5 overs. Afif and Liton showed intent as they scored some valuable runs in the middle. Liton, in particular, looked to be in good touch, smashing a total of four boundaries and a beautifully timed straight six off leggie Shadab Khan during his 26-ball 35-run knock. Things went downhill for the Tigers once Liton departed to a Mohammad Nawaz delivery in the 13th over. Mosaddek Hossain was trapped in front by Nawaz the very next ball as Bangladesh found themselves at 87 for four after 12.4 overs. With the required rate going above 11 an over, Bangladesh could never bounce back as they kept losing wickets at regular intervals. Yasir's five boundaries and two maximums at the death on way to his career-best T20I score only helped Bangladesh reduce the margin of defeat.  Earlier, Mohammad Rizwan continued his excellent form with the willow as he struck an unbeaten 78 to help Pakistan post a challenging 167 for five.  
 "
