URLS,Headline,Article
/business/news/apex-footwear-launches-25th-anniversary-celebration-campaign-3146951,Apex Footwear launches 25th anniversary celebration campaign ," Apex Footwear launched its 25th anniversary celebration campaign today at a press briefing at The Daily Star Centre in Dhaka.The leading footwear company of the country announced some offers and customer engagement activities across all stores, such as Lucky 25 offer, spin the wheel, surprise 25 minutes, combo offer, star surprise, birthday surprises and special souvenirs for Apex rewards members, and many more.Under Lucky 25 offe, the company will give 50 per cent discount on its 25th customer of the shops.By spinning a wheel kept in the stores customers will get a certain discount from 5 to 25 per cent.Surprise 25 minute will be such a period of each day when customers will get 25 per cent discount on their purchase.In its combo offer, customer will get a gift voucher if they buy two products of Maverick, a brand of Apex Footwear. Star surprise meaning Bangladesh national football team's skipper Jamal Bhuyan, who is the brand ambassador of Sprint, will be present in some of the showrooms to surprise customers.Apex has been working relentlessly for the last 25 years and it has brought a transformation in the footwear market of Bangladesh, said Syed Nasim Manzur, managing director of Apex Footwear.It is giving a good quality product to the local people and it is now a popular brand, which won the government's acknowledgement for its green factory, he said.Starting the journey in 1997 with a local store now it has over 470 stores.The company has also launched sales through e-commerce platforms and number of its labour force is 4,635, Manzur added.Firoze Mohammad, chief operating officer of Apex Footwear, also spoke at the event along with other officials of the company."
/life-living/travel/news/top-5-places-visit-sitakunda-3146841,Top 5 places to visit in Sitakunda ,"Well known for its natural beauty, Sitakunda has always been one of the major tourist spots in Bangladesh. Sitakunda is an upazila in Chattogram district hosting the first eco-park of the country. The name of the place itself — Sitakunda is rather intriguing and there are multiple myths behind the origin of the name, but that's another story!
For now, let's discuss the top 5 places you should visit if you are in Sitakunda.  Arguably the most popular place in Sitakunda and had to be number one on the list, Chandranath Hill is well known for its verdant and scenic view. More than a thousand feet in height, the top of the hill takes about an hour and half to reach and once you get there, you will find the temple. With the enchanting view of the sea on one side and the hills on the other, this is a view to savour as one of the most cherished memories. There are two ways to climb the hill and you should choose carefully and prepare before you start trekking.Sitakunda Eco-park is to the south of Sitakunda Bazar and only a few kilometres away. It is the first eco-park of Bangladesh and plays host to a wide number of flora and fauna. Hundreds of different types of flowers and trees are nursed here and as always, the vegetation will rejuvenate you with its soothing green touch. The park also offers home to a number of wild animals such as monkeys, rabbits, chimpanzees, etc. that only adds to the natural elements.Waterfalls such as 'Sohosrodhara' and 'Shuptodhara' are part of the park and if you come during rainy season, you can observe the true beauty of them.Also known as Muradpur Beach, it is one of the most attractive sea beaches in Bangladesh. Only 5 kilometres away from Sitakunda Bazar, the Muradpur Beach is a place that will make you feel things that are just indescribable. With the sea on one side, the Keora Forest on the other and the grass spread like a canvas under your feet, this place offers a view that we see in paintings. The breathing roots of the Keora trees are visible sometimes, adding a flavour to this already picture-perfect landscape.The name of this place is pretty accurate. 'Moha' (great) 'Maya' (enthralling) is the only way to describe the effects of this place. Mohamaya Lake is the second largest artificial lake in Bangladesh with an area of 11 square kilometres. Hills, rubber dam, fountains and crystal-clear water — all this together in a cocktail of absolute bliss and to top it off, you can camp and Kayak here.With the Komoldoho Waterfall as the hero of the trail, there are at least five more different waterfalls on this trail. The Komoldoho Waterfall itself is rather dangerous during rainy season because of its nature and therefore should be visited following the departure of the rainy season. Being one of the most challenging and risky trails in Sitakunda, this place makes up for it with the cathartic feeling it offers once you finish the trail.The Jhorjhori trail should not be missed and it offers a challenging route just like Komoldoho. Kumira Ghat will offer you a soothing view of the sea and a perfect place to witness the sunset in all it's glory. Horinmara trail is as interesting as the name itself. Sagolkanda Waterfall or Kamalak Jharna is getting more and more popular amongst travellers lately.
We suggest that instead of trying to fit everything in a tight schedule, slow down a bit and take your time in this place. Prepare for trekking with proper gears and supplies and try to enjoy the adventure rather than making it a chore to be finished in time.The easiest way to get to Sitakunda is by bus. There are plenty of buses departing from Dhaka to Chittagong every few minutes. Pick any transport service you are comfortable with and board a bus of Dhaka-Chittagong route. Easy as that.One might also get there by train if that is more convenient for you. Get down at Feni Railway Station. Then get to Mohipal bus station in any sort of transport and from there you can get on buses headed for Sitakunda."
/environment/news/2-arrested-razing-hills-chattogram-3146971,2 arrested for razing hills in Chattogram,"A team of the Department of Environment (DoE) today (October 19, 2022) arrested two people for razing hills and damaging the ecosystem in Chattogram.The arrestees, Faizullah, Md Liton, were caught while they were attending hearing at DoE Chattogram metro office, said Hasan Ahmed, assistant director of the DoE.A case was filed with Akbar Shah Police Station against four, including the two arrestees, for illegally cutting hills and constructing structure, he said.According to the case document, on October 18, a team of DoE Chattogram Metropolitan Office visited the spot and found that about 1,500 cubic feet hills adjacent to Lake City residential area of Akbar Shah in the port city had been razed to the ground by the accused."
/entertainment/tv-film/news/utterly-gobsmacked-and-total-awe-srijit-mukherji-praises-nuhash-humayun-3146746,‘Utterly gobsmacked and in total awe’: Srijit Mukherji praises Nuhash Humayun,"Nuhash Humayun has quite the track record when it comes to producing horror projects, as evident by his recent success with Bangladesh's first ever project on Hulu, ""Foreigners Only"", and the numerous accolades that ""Moshari"" received throughout the world.Renowned filmmaker Srijit Mukherji is also a fan, as evident by his recent post on Facebook.""Petkata Shaw. Foreigners Only. Moshari. No, I don't think Law of Averages applies to Nuhash Humayun. Utterly gobsmacked and in total awe"", he wrote on his verified profile.The ""Shabash Mithu"" director's praise meant a lot for Nuhash, as he shared it on his own profile as well."
/business/news/bangladesh-lamps-profit-jumps-72-3146711,Bangladesh Lamps' profit jumps 72%,"Bangladesh Lamps Limited posted a 72 per cent higher profit year-on-year in the financial year that ended on June 30.The company reported earnings per share of Tk 8.78 in 2021-22, which was Tk 5.10 in 2020-21.Net asset value per share fell to Tk 90.99 from Tk 95.16 in 2020-21.Net operating cash flow per share was a negative of Tk 5.52, against Tk 8.65 in the previous year.The board of directors has recommended a 20 per cent cash and a 7 per cent stock dividend for 2021-22, according to a filing on the Dhaka Stock Exchange today."
/business/economy/news/rupayan-city-uttara-gets-new-ceo-3146266,Rupayan City Uttara gets  new CEO,"Rupayan City Uttara has promoted its deputy managing director to the post of chief executive officer (CEO) recently. M Mahbubur Rahman was previously the executive director of Sanmar Properties in Dhaka and Chattogram from 2010 to 2021, said a press release.He obtained his bachelor's and master's degrees in international relations from the University of Dhaka. "
/news/bangladesh/crime-justice/news/25-year-old-sentenced-death-rape-murder-schoolgirl-ctg-3147001,"25-year-old sentenced to death for rape, murder of schoolgirl in Ctg","A Chattogram court today (October 19, 2022) sentenced a 25-year-old man to death in a case filed for raping and murdering a school girl after kidnapping her at Hathazari upazila in 2018.Chattogram Divisional Speedy Trial Tribunal Judge Halimullah Chowdhury handed down the verdict against Shahnewaz Siraj Munna of Hathazari, reports our staff correspondent quoting the victim's lawyer Raid Uddin.The court also acquitted Munna's parents—Shahjahan Siraj and Nigar Sultana from the charges in the case. After announcing the verdict, Munna was sent to jail.""For kidnapping, the tribunal awarded life in prison to Munna under section-7 of Women and Child Repression Prevention Act while he was sentenced to death on charge of the victim's killing after rape and murder under section 9,"" Raid told The Daily Star.""The court also fined him Tk 1 lakh,"" he added.He said a total 18 witnesses testified out of 31 persons in the case.According to the case statement, Munna raped the victim on September 14 in 2018 and strangled her to death and then hid the body at his house. After two days, on September 16, Munna was caught by police when he was trying to flee and based on his confession, police recovered the body. The victim's brother later filed a case in this connection.Police pressed the charge sheet on July 9, 2019 implicating the three. Star Digital ReportA Chattogram court today (October 19, 2022) sentenced a 25-year-old man to death in a case filed for raping and murdering a school girl after kidnapping her at Hathazari upazila in 2018.Chattogram Divisional Speedy Trial Tribunal Judge Halimullah Chowdhury handed down the verdict against Shahnewaz Siraj Munna of Hathazari, reports our staff correspondent quoting the victim's lawyer Raid Uddin.The court also acquitted Munna's parents—Shahjahan Siraj and Nigar Sultana from the charges in the case. After announcing the verdict, Munna was sent to jail.""For kidnapping, the tribunal awarded life in prison to Munna under section-7 of Women and Child Repression Prevention Act while he was sentenced to death on charge of the victim's killing after rape and murder under section 9,"" Raid told The Daily Star.""The court also fined him Tk 1 lakh,"" he added.He said a total 18 witnesses testified out of 31 persons in the case.According to the case statement, Munna raped the victim on September 14 in 2018 and strangled her to death and then hid the body at his house. After two days, on September 16, Munna was caught by police when he was trying to flee and based on his confession, police recovered the body. The victim's brother later filed a case in this connection.Police pressed the charge sheet on July 9, 2019 implicating the three. "
/business/economy/news/towards-cashless-economy-driven-contactless-payments-3146336,Towards a cashless economy driven by contactless payments,"Bangladesh has been marching forward very fast, riding on its robust economic growth which is expected to be 6.9 per cent in FY22 and 7.1 per cent in 2023. Among other initiatives, this growth has been due to the far-sighted vision of the government's ""Digital Bangladesh"" initiative. Digital transformation and the resulting innovations have spurred growth in different sectors, opening new horizons to be explored.The financial (both banking and non-banking) sector also needs to embrace this digital revolution to inspire people to move towards a more organised digitised society, where transactions can become easier, safer and more convenient. One such innovation being embraced across the world is contactless payments, which play an instrumental role in developing a cashless society like the one Bangladesh is aspiring for and bringing with it a myriad of benefits and possibilities.If more people are encouraged to adopt contactless payments and digital transactions, it will have exponential impact. The ""National Digital Payments Roadmap 2022-2025"" states that digital payments could boost Bangladesh's annual gross domestic product (GDP) by 1.7 per cent, adding $6.2 billion to the economy each year.Dependence on cash is fraught with issues. According to the study/report titled ""Reducing the Cash Transactions"" in 2019 by Bangladesh Bank, the country has to spend Tk 9,000 crore annually because of cash dependence and requires 0.50 per cent of the country's GDP for the maintenance (cost) of printed money. Apart from the cost of handling cash itself, there are inherent problems of change, theft and hygiene to deal with.Owing to these inconveniences, contactless payments are gaining momentum globally with many macro-economic benefits as well. For customers, contactless payments significantly reduce the time needed to complete an in-store payment, resulting in faster checkout. Post-pandemic, the risk of handling cash and potential infections while transacting is also eliminated as a contactless card remains in one's hand.Paying cash or dipping/swiping a card requires more time and numerous steps, including handing it over to the seller, swiping it through point-of-sale (POS) machines and keying in a password or collecting change, vis-à-vis simply tapping the contactless card and completing the payment process within a few seconds.As it follows EMVCo security standards, tapping to pay is more reliable, secure and traceable than many other forms of payment.Like other countries, contactless payments are gaining currency in Bangladesh, especially on the back of the recent regulations allowing contactless payments on debit cards. Several financial institutions are encouraging their customers to adopt contactless payment methods, with over half a dozen banks rolling out contactless cards. At the moment, there are about 4.5 lakh contactless credit cards in circulation in the country and around 42,000 POS terminals can accept contactless payments. According to the same report of Bangladesh Bank mentioned earlier, today only 6 per cent of total transactions are handled electronically. This requires the ecosystem to come up with initiatives to inspire people, businesses, banking and non-banking financial institutions to opt for contactless payments and help develop a cashless society in the near future.It is heartening to see that Bangladesh is already embracing contactless payments. With enabling regulations and rising adoption by consumers and merchants, the growth of contactless payments and subsequently a less-cash society is going to be realised soon.The author is country manager for Bangladesh, Nepal and Bhutan at VISA Inc."
/life-living/travel/news/nilgiri-chimbuk-thanchi-open-tourists-ruma-rowangchhari-still-shut-3146656,Nilgiri-Chimbuk-Thanchi open for tourists,"There is no restriction for tourists in visiting Nilgiri, Chimbuk and Thanchi in Bandarban.However, the movement of tourists in Ruma and Rowangchhari upazilas still remains suspended until further announcement., Bandarban tourist police told our local correspondent today (October 19, 2022).Bandarban Tourist Police ASP MD Nakib PPM said, ""It was decided in consultation with senior officials yesterday (October 18, 2022) that tourists will be able to travel to Nilgiri, Chimbuk and Thanchi from today.""District Superintendent of Police Tariqul Islam told The Daily Star, ""Although the travel to Thanchi has not been officially stopped, there were restrictions as the Nilgiri, Chimbuk tourist spots which fall in Ruma upazila.""""From today, there will be no restriction on travelling to Bandarban Sadar, Thanchi, Nilgiri, Chimbuk,"" he added.""I request tourists to travel inside the mobile network and not to venture into the deep jungles,"" he added.Ruma and Rowangchhari upazila administrations imposed a temporary ban on tourism at Rowangchhari and Ruma upazilas on Monday (October 17, 2022) amid drives against militants."
/business/news/doreen-hotel-fined-tk-35-lakh-keeping-date-expired-food-3146816,Doreen Hotel fined Tk 3.5 lakh for keeping date-expired food,"The Directorate of National Consumers Right Protection (DNCRP) has fined Doreen Hotel and Resorts, a five-star hotel in Dhaka's Gulshan area, Tk 350,000 for keeping date-expired food items.A team of DNCRP conducted a raid at the hotel yesterday and found a large quantity of soda water, which had expired a month ago, the directorate said in a press release.The hotel also preserved leftovers apparently to serve customers later, it said.The directorate also summoned the hotel authority to explain why they should be allowed to continue the business.AHM Shafiquzzaman, director general of the DNCRP, said the directorate conducted the raid on the five-star hotel on specific information.He said the hotel prepares food with expired products and keeps the leftovers for sale the next day."
