URLS,Headline,Article
/life-living/travel/news/tourists-leaving-bandarban-amid-drives-against-militants-3145886,Tourists leaving Bandarban amid anti-militant drive,"Tourists have started leaving Bandarban amid ongoing drives against militants and criminals today, a day after local administration imposed a temporary ban on tourism in Ruma and Rowangchhari upazilas from this (October 18, 2022) morning.The administration has also discouraged tourists to travel to Thanchi and Alikadam upazilas amid security operations of the joint forces in the bordering areas of Ruma and Rowangchhari.The military was joined by the members of the Rapid Action Battalion in the drive as the security officials were conducting extensive searches in the surrounding villages.Military helicopters of the security forces were also patrolling the areas.This morning, tourists-carrying vehicles heading for Thanchi had been sent back to Bandarban Sadar upazila from Milanchari Police Outpost, said Md Kamal Hossain, general secretary of Bandarban Micro-jeep-Mahendra Owner's Cooperative Association. The tourists are only allowed to visit Meghla and Nilachal Tourism spots in the hilly town, he said.Most of the hotels were vacant and bookings have been cancelled after the ban, said the hotel owners in Bandarban.Authorities of the Hotel Hilton and the Hotel Hill View said those who came to stay this morning have cancelled their plans and some headed toward Cox's Bazar.A group of 70 people this morning were supposed to check-in at the Sairu Hill Resort at Thanchi, but they could not reach as the Thanchi road was blocked, Mir Atiqur Rahman, deputy manager of the luxury residential complex, told UNB. ""A group of 40 people also checked out in the morning, so the resort is empty now,"" he said.Md Tariqul Islam, superintendent of police in Bandarban, said the movement of the tourists was being prohibited or discouraged by the orders of the higher authorities. "
/news/bangladesh/accidents-fires/news/man-dies-after-truck-crashes-warehouse-ctg-3145996,Man dies after truck crashes into warehouse in Ctg,"A security guard died and another suffered serious injuries when a truck ran them over at a warehouse of GPH Ispat in Banshbaria area of Sitakunda upazila in Chattogram today (October 18, 2022).The deceased was identified as Baran Kumar Chakma, 30, son of Shobha Chandra of South Sapmara area under Manikchhari upazila in Khagrachhari.Injured Millat Hosen was taken to Chattogram Medical College Hospital, reports our staff correspondent.The accident took place when Baran and Millat were on duty at the gate around 1:00pm and a truck owned by GPH crashed into the warehouse and ran them over.Baran died on the spot while Millat suffered injuries in his leg, said Tofael Ahmed, officer-in-charge of Sitakunda Police Station.But the driver of the truck managed to flee after the incident, he added."
/business/news/bangladeshs-agriculture-needs-tk-15000-crore-investment-5-years-3145981,"‘Bangladesh’s agriculture needs Tk 15,000 crore investment in 5 years’","Agriculture Minister Muhammad Abdur Razzaque today urged developed countries, international banks, donor agencies and private entrepreneurs to invest in Bangladesh's agriculture sector, which will need Tk 15,000 crore in the next five years.The money will be needed to make agricultural production sustainable and transform the agricultural sector, he said.The minister was speaking at the opening ceremony of the 'Investment Forum' of the World Food Forum of the Food and Agriculture Organization (FAO) of the United Nations in Italy.FAO has organised the two-day conference to increase investment in the transformation of the agricultural sector.People from 20 countries are taking part in the conference.At the event, Razzaque also highlighted the investment plans, needs and possibilities of Bangladesh's agriculture sector.The minister said Bangladesh has achieved unprecedented success in agricultural production under the present government led by Prime Minister Sheikh Hasina.But the country is still lagging behind in agricultural processing and export of agricultural products, in which there is a lot of potential, the minister said.The government gives priority to four sectors: cold storage installation and post-harvest management, agro-processing and marketing, climate-smart agriculture, and irrigation and water management, which will need Tk 15,000 in the next five years, he said.These sectors have high potential and will be profitable places for investment in Bangladesh's agriculture, he added.Razzaque also sought immediate investment for the establishment of cold storage, post-harvest management, processing and marketing for the four products: potato, onion, mango and tomato.He said there is still no technology in the country to store vegetables, including onions, mangoes and tomatoes.In addition, 25-40 per cent of these products are wasted in the post-collection stage, he added.Highlighting the details of investment infrastructure and government facilities in Bangladesh, the minister said there is a conducive environment for investment in the country.""So, come forward to invest."""
/sports/cricket/news/india-wont-travel-pakistan-next-years-asia-cup-asserts-shah-3145941,"India won’t travel to Pakistan for next year's Asia Cup, asserts Shah","BCCI secretary Jay Shah asserted that India will not travel across the border to Pakistan to play in the 2023 Asia Cup.With the Asia Cup next year scheduled to be hosted by Pakistan, it was in doubt whether archrivals India would tour the country. Shah put an end to the speculations as he dropped the update following BCCI's AGM in Mumbai on Tuesday.Shah, who is also the president of the Asian Cricket Council, hinted at moving Pakistan as hosts saying the tournament would have to be played at a different venue, most likely a neutral one.""The Asia Cup 2023 will be held at a neutral venue. I am saying this as ACC President. We can't go there, they can't come here. In the past also, Asia Cup has been played at a neutral venue,"" Shah told the media after the AGM.In accordance with the FTP, Pakistan are to host two major tournaments in the next three years -- the 2023 Asia Cup and the 2025 Champions Trophy. India are set to feature in both tournaments but judging by Shah's comments, it remains to be seen how these fixtures will pan out.India and Pakistan have not played in a bilateral series since 2012. The men in blue last toured Pakistan for the 2008 Asia Cup, and Pakistan's latest outing in India was in the 2016 T20 World Cup.  "
/news/bangladesh/crime-justice/news/jamaat-leader-gets-17yrs-imprisonment-jhenaidah-arms-case-3145951,Jamaat leader gets 17yrs imprisonment in Jhenaidah arms case,"A Jhenaidah court today (October 18, 2022) sentenced the district's Kotchandpur upazila Jamaat e-Islami Secretary Muabia Hossain, also former vice-chairman of the upazila parishad, to 17 years in jail in an arms case.Md Nazimuddoula, judge of Jhenaidah Senior Special Tribunal Judge's Court passed the order this afternoon, said Public Prosecutor Ismail Hossain Badshah.After the judgement, the convict was sent to jail, the public prosecutor told our Jhenaidhah correspondent.According to the prosecution, police arrested Muabia Hossain from the front of Kotchandpur Upazila Parishad on February 22, 2016.Later, according to his confession, a pipe gun and six rounds of bullets were recovered from the Sulemanpur area.Police filed a case against him with Kotchandpur Police Station in this connection.After the investigation, police submitted a charge sheet to the court on May 25, 2016.After examining witnesses and documents, the court handed down the verdict today."
/entertainment/tv-film/news/i-will-always-be-model-first-shirin-akter-shela-3146051,I will always be a model first: Shirin Akter Shela,"When Shirin Akter Shela walks into a room, one cannot help but gasp at her commanding presence. The former Miss Universe Bangladesh is no stranger to representing Bangladesh on the international stage, and this time, she won the Model Star Award in South Korea's Asia Model Festival, which she also judged.She gave an exclusive over-the-phone interview to The Daily Star, just after the event.Where are you right now?
I am still in South Korea, at the after-party of the event. It has been exhilarating, to say the least. In 2019, I was a participant in the same event, and now I took the judge's seat – it is truly and honour. It is also very heartening to see the Bangladeshi contingent perform well here.
Who, among the Bangladeshi participants, did well?



Mir Maryam Ahmed reached the Top 10 of the 'Face of Asia' segment. Besides her, Hasnat Jami was also noticeable in the event.
Where is does the modeling industry in Bangladesh stand right now?
Despite our greatest efforts, there is a lot left to be desired in terms of events. For example, we used to have the Bangladesh Fashion week, which does not take place any more. Whatever achievements that we have in this field, it is the result of earnest efforts from a very limited number of people in this sector.



 








On that note, I would really like to thank Azra Mahmood for her constant mentorship and support for this programme.
You have achieved a lot at this young age. Do you feel like you could mentor some up-and-coming models in the future?
I cannot even think about mentoring someone, as so many seniors whom I idolize are still in their prime. I just mentioned Azra Mahmood, and there are many other talented individuals, who deserve the title of a 'mentor'. I am just happy to be able to represent Bangladesh.








Shirin Akter Shela is now a judge at Asia Model Festival Read more
We saw at a recent event by The Daily Star, that you are great at dance as well.
(Laughs) When Blender's Choice-The Daily Star OTT and Digital Content Awards asked me to perform here, I was already learning Bharatnatyam for three months! I am glad that I was able to pull it off with limited experience, and after seeing that, Chorki also hit me up for a performance for their one-year anniversary programme.
 








You really came into your own as an actor in ""Pett Kata Shaw"". Do you want to sign up for more acting gigs now?
I might, but I want to state clearly that my identity will always be as a model. I have lived and breathed this industry for a long time. If I had to pick an alternate career, it would be to act, but I will never forget my roots.
 
I am still in South Korea, at the after-party of the event. It has been exhilarating, to say the least. In 2019, I was a participant in the same event, and now I took the judge's seat – it is truly and honour. It is also very heartening to see the Bangladeshi contingent perform well here.Who, among the Bangladeshi participants, did well?Mir Maryam Ahmed reached the Top 10 of the 'Face of Asia' segment. Besides her, Hasnat Jami was also noticeable in the event.Where is does the modeling industry in Bangladesh stand right now?Despite our greatest efforts, there is a lot left to be desired in terms of events. For example, we used to have the Bangladesh Fashion week, which does not take place any more. Whatever achievements that we have in this field, it is the result of earnest efforts from a very limited number of people in this sector.On that note, I would really like to thank Azra Mahmood for her constant mentorship and support for this programme.You have achieved a lot at this young age. Do you feel like you could mentor some up-and-coming models in the future?
I cannot even think about mentoring someone, as so many seniors whom I idolize are still in their prime. I just mentioned Azra Mahmood, and there are many other talented individuals, who deserve the title of a 'mentor'. I am just happy to be able to represent Bangladesh.








Shirin Akter Shela is now a judge at Asia Model Festival Read more
We saw at a recent event by The Daily Star, that you are great at dance as well.
(Laughs) When Blender's Choice-The Daily Star OTT and Digital Content Awards asked me to perform here, I was already learning Bharatnatyam for three months! I am glad that I was able to pull it off with limited experience, and after seeing that, Chorki also hit me up for a performance for their one-year anniversary programme.
 








You really came into your own as an actor in ""Pett Kata Shaw"". Do you want to sign up for more acting gigs now?
I might, but I want to state clearly that my identity will always be as a model. I have lived and breathed this industry for a long time. If I had to pick an alternate career, it would be to act, but I will never forget my roots.
 
I cannot even think about mentoring someone, as so many seniors whom I idolize are still in their prime. I just mentioned Azra Mahmood, and there are many other talented individuals, who deserve the title of a 'mentor'. I am just happy to be able to represent Bangladesh.We saw at a recent event by The Daily Star, that you are great at dance as well.(Laughs) When Blender's Choice-The Daily Star OTT and Digital Content Awards asked me to perform here, I was already learning Bharatnatyam for three months! I am glad that I was able to pull it off with limited experience, and after seeing that, Chorki also hit me up for a performance for their one-year anniversary programme.You really came into your own as an actor in ""Pett Kata Shaw"". Do you want to sign up for more acting gigs now?
I might, but I want to state clearly that my identity will always be as a model. I have lived and breathed this industry for a long time. If I had to pick an alternate career, it would be to act, but I will never forget my roots.
 
I might, but I want to state clearly that my identity will always be as a model. I have lived and breathed this industry for a long time. If I had to pick an alternate career, it would be to act, but I will never forget my roots. "
/star-multimedia/news-multimedia/news/allegations-abusing-ju-freshmen-raised-against-chhatra-league-boro-bhais-3146056,"Allegations of abusing JU freshmen raised against ""Chhatra League boro bhais""","The Daily Star recently obtained video footage of seven to eight senior students verbally abusing junior students at Jahangirnagar University.In the video, senior students are seen assaulting first-year students in the guestroom of Bangabandhu Sheikh Mujibur Rahman Hall around 12:30 am today (October 17, 2022)."
/business/news/hc-queries-about-actions-taken-against-tk-3700-crore-scammers-3145961,"HC queries about actions taken against Tk 3,700 crore scammers","The High Court today wanted to know what action has been taken against the persons, including five deputy governors of Bangladesh Bank, who were reportedly involved in the financial scam of Tk 3,700 crore.The court asked Deputy Attorney General AKM Amin Uddin Manik and Anti-Corruption Commission's Lawyer Khurshid Alam Khan to get the information from Bangladesh Bank and present it by October 27.The HC bench of Justice Md Nazrul Islam Talukder and Justice Khizir Hayat Lizu passed the order on a suomuto (voluntary) move following a report published on the daily Kalbela on October 17.The report said 249 officials, including five deputy governors of Bangladesh Bank, have responsibility in the financial scams of Bangladesh Industrial Financial Company Limited (BIFC) and International Leasing and Financial Services Limited (ILFSL), the Kalbela report said.With the help of these officials of three departments of the central bank, Prashanta Kumar Halder or PK Halder and Major (retd) Abdul Mannan, secretary general of Bikalpa Dhara Bangladesh, embezzled a hefty amount of money, which was revealed in a report of a high-powered probe committee formed at the directive of the High Court, the Kalbela report added.Out of the Tk 3,700 crore embezzled, Tk 3,130 crore was taken from ILFSL against the name of PK Halder, who is currently imprisoned in India, and his various organisations.From BIFC, Mannan and his organisation embezzled Tk 600 crore."
/sports/football/news/keepers-are-being-overlooked-ballon-dor-award-3146001,'Keepers are being overlooked for Ballon d'Or award',"Thibaut Courtois was named man of the match in last season's Champions League final, but the Belgian goalkeeper came seventh in the Ballon d'Or rankings on Monday, which drew frustration at how the trophy for the world's best player is awarded.Courtois, whose brilliant saves helped Real keep Liverpool at bay before Vinicius Junior scored the only goal in Paris in May, collected the Lev Yashin trophy for best keeper but it felt too little.""I couldn't have had a better season, especially with the saves in the Champions League,"" Courtois told Reuters after the ceremony before the main award went to his Real team mate Karim Benzema.""As a keeper you can't do more, winning the league and the Champions League the way we did.""Last year, goalkeeper Gianluigi Donnarumma finished 10th in the Ballon d'Or rankings after being named man of the match in Italy's victory against England after a penalty shootout in the European Championship final.""Naturally being in the top 10, it's fantastic, but unfortunately when voting comes keepers are being overlooked with strikers being favoured,"" said Courtois.""It's not such a big deal but keepers are being underestimated although we've been participating in the game much more, sometimes almost as playmakers.""Yashin of the then USSR is the last - and only - keeper to win the Ballon d'Or award, in 1963."
/sports/football/news/jota-miss-world-cup-injury-says-klopp-3146066,"Jota to miss World Cup with injury, says Klopp","Portugal have been dealt a blow ahead of the World Cup with forward Diogo Jota ruled out of the tournament in Qatar due to a calf injury, Liverpool manager Juergen Klopp said on Tuesday.Jota, 25, was taken off on a stretcher deep into stoppage time during Liverpool's 1-0 Premier League win against champions Manchester City at the weekend.""Really not good news, yes he will miss the World Cup. Pretty serious injury in the calf muscle and now the process starts. That's it pretty much,"" said Klopp, adding that Jota would not require surgery.""All the rest will now follow in the next few days. Very sad news for the boy, for us as well and for Portugal... I don't want to put a time on it (his return). It will be a long time.""Jota, who has scored 10 times in 29 appearances for Portugal, had only regained full fitness after missing the opening few weeks of the season due to a hamstring problem.He becomes the second Liverpool player to miss out on the World Cup after Colombian Luis Diaz was sidelined due to a knee injury.Asked how Jota had taken the news, Klopp said: ""He's surprisingly okay so far, a smart boy and he knew it when we carried him off. At that moment he knew it.""Klopp was sent to the stands following a heated altercation with the assistant referee during the win against City but the German expects to be in the dugout at home to West Ham United on Wednesday.""I think I will be there tomorrow because nothing happened yet. I don't think something will happen tomorrow a few hours before the game,"" he said.Klopp's outburst attracted criticism from Ref Support UK, a charity that offers support to referees in grassroots football where abuse is common. City boss Pep Guardiola's behaviour was also called into question.""I still think I should have dealt differently with the situation which I usually do,"" added Klopp.""The whole game led to that a little bit. It was a very, very intense game with a lot of decisions we didn't understand on both sides... I'm not happy with my reaction but that's the way it was and everybody saw it.""Liverpool are eighth in the league standings with 13 points from nine games, two points ahead of 12th-placed West Ham."
